Car_Name,Make,Model,Make_Year,Color,Body_Type,Mileage_Run,No_of_Owners,Seating_Capacity
"Chevrolet Beat [2009-2014] PS Petrol",Chevrolet,Beat,2013,grey,hatchback,52501,1st,5
"Chevrolet Beat [2011-2014] LS Diesel",Chevrolet,Beat,2013,blue,hatchback,77022,1st,5
"Chevrolet Beat [2014-2017] LS Diesel",Chevrolet,Beat,2015,red,hatchback,42222,1st,5
"Chevrolet Beat [2014-2017] LS Petrol",Chevrolet,Beat,2014,green,hatchback,45080,1st,5
"Chevrolet Cruze [2009-2017] LTZ AT",Chevrolet,Cruze,2013,white,sedan,71450,1st,5
"Chevrolet Cruze [2009-2017] LTZ AT",Chevrolet,Cruze,2015,grey,sedan,72489,1st,5
"Datsun GO [2014-2019] T",Datsun,GO,2014,red,hatchback,55890,2nd,5
"Datsun GO [2014-2019] T",Datsun,GO,2015,white,hatchback,73892,1st,5
"Datsun Redi-GO [2015-2019] T (O)",Datsun,Redi-GO,2017,red,hatchback,42187,1st,5
"Ford EcoSport [2013-2015] Titanium 1.0L Ecoboost",Ford,EcoSport,2014,white,suv,48060,1st,5
"Ford EcoSport [2013-2015] Titanium 1.5L TDCi",Ford,EcoSport,2014,white,suv,86120,1st,5
"Ford EcoSport [2013-2015] Titanium 1.5L TDCi (Opt)",Ford,EcoSport,2014,silver,suv,97902,1st,5
"Ford EcoSport [2013-2015] Titanium 1.5L TDCi (Opt)",Ford,EcoSport,2015,red,suv,92474,2nd,5
"Ford EcoSport [2013-2015] Titanium 1.5L Ti-VCT",Ford,EcoSport,2014,silver,suv,74814,2nd,5
"Ford EcoSport [2013-2015] Titanium 1.5L Ti-VCT AT",Ford,EcoSport,2013,white,suv,47068,1st,5
"Ford EcoSport [2013-2015] Titanium 1.5L Ti-VCT AT",Ford,EcoSport,2015,grey,suv,55617,2nd,5
"Ford EcoSport [2013-2015] Trend 1.5L TDCi",Ford,EcoSport,2013,silver,suv,95381,1st,5
"Ford EcoSport [2015-2017] Titanium + 1.5L TDCi",Ford,EcoSport,2016,red,suv,91463,2nd,5
"Ford EcoSport [2015-2017] Titanium + 1.5L TDCi",Ford,EcoSport,2017,grey,suv,31080,1st,5
"Ford EcoSport [2015-2017] Titanium 1.5L Ti-VCT",Ford,EcoSport,2017,black,suv,12761,2nd,5
"Ford EcoSport [2015-2017] Titanium 1.5L Ti-VCT AT",Ford,EcoSport,2016,grey,suv,36422,1st,5
"Ford EcoSport [2015-2017] Titanium 1.5L Ti-VCT AT",Ford,EcoSport,2017,white,suv,84118,1st,5
"Ford EcoSport [2015-2017] Titanium+ 1.0L EcoBoost",Ford,EcoSport,2016,blue,suv,46485,1st,5
"Ford EcoSport [2015-2017] Trend + 1.5L TDCi",Ford,EcoSport,2016,grey,suv,96471,1st,5
"Ford EcoSport [2015-2017] Trend 1.5L TDCi",Ford,EcoSport,2017,bronze,suv,43112,1st,5
"Ford EcoSport [2015-2017] Trend+ 1.0L EcoBoost",Ford,EcoSport,2016,blue,suv,69414,1st,5
"Ford EcoSport [2017-2020] Titanium + 1.5L Ti-VCT AT",Ford,EcoSport,2017,brown,suv,73428,1st,5
"Ford EcoSport [2017-2020] Titanium + 1.5L Ti-VCT AT",Ford,EcoSport,2018,silver,suv,39105,1st,5
"Ford EcoSport [2017-2020] Titanium + 1.5L Ti-VCT AT",Ford,EcoSport,2019,white,suv,60197,1st,5
"Ford EcoSport [2017-2021] Titanium + 1.5L Ti-VCT",Ford,EcoSport,2020,silver,suv,26116,1st,5
"Ford EcoSport [2017-2021] Titanium 1.5L TDCi",Ford,EcoSport,2019,blue,suv,67732,1st,5
"Ford EcoSport [2017-2021] Titanium 1.5L Ti-VCT",Ford,EcoSport,2018,brown,suv,35796,1st,5
"Ford EcoSport [2017-2021] Titanium 1.5L Ti-VCT",Ford,EcoSport,2019,grey,suv,11800,1st,5
"Ford EcoSport [2017-2021] Titanium 1.5L Ti-VCT",Ford,EcoSport,2021,silver,suv,15924,1st,5
"Ford Figo [2010-2015] Duratec Petrol ZXI 1.2",Ford,Figo,2011,green,hatchback,84494,2nd,5
"Ford Figo [2015-2019] Titanium1.5 TDCi",Ford,Figo,2016,grey,hatchback,83705,1st,5
"Ford Figo [2019-2021] Titanium Diesel",Ford,Figo,2019,red,hatchback,14499,1st,5
"Ford Figo [2019-2021] Titanium Diesel",Ford,Figo,2020,grey,hatchback,11762,1st,5
"Ford Figo Aspire [2015-2019] Titanium 1.2 Ti-VCT",Ford,"Figo Aspire",2017,white,sedan,53467,1st,5
"Ford Figo Aspire [2015-2019] Titanium 1.2 Ti-VCT",Ford,"Figo Aspire",2018,blue,sedan,21089,1st,5
"Ford Figo Aspire [2019-2021] Titanium Plus 1.2 Ti-VCT",Ford,"Figo Aspire",2019,red,sedan,10370,1st,5
"Ford Figo Aspire [2019-2021] Titanium Plus 1.2 Ti-VCT",Ford,"Figo Aspire",2020,white,sedan,18300,1st,5
"Ford Freestyle [2017-2021] Titanium 1.2",Ford,Freestyle,2018,red,crossover,29028,1st,5
"Ford Freestyle [2017-2021] Titanium 1.2",Ford,Freestyle,2019,red,crossover,17504,1st,5
"Ford Freestyle [2017-2021] Titanium 1.2",Ford,Freestyle,2020,golden,crossover,14965,1st,5
"Ford Freestyle [2020-2021] Flair Edition Diesel",Ford,Freestyle,2020,white,crossover,28335,2nd,5
"Honda Amaze [2013-2018] 1.2 S i-VTEC",Honda,Amaze,2014,silver,sedan,61881,2nd,5
"Honda Amaze [2013-2018] 1.2 S i-VTEC",Honda,Amaze,2015,grey,sedan,49435,1st,5
"Honda Amaze [2013-2018] 1.2 S i-VTEC",Honda,Amaze,2016,brown,sedan,60656,1st,5
"Honda Amaze [2013-2018] 1.2 VX AT i-VTEC",Honda,Amaze,2013,white,sedan,10651,1st,5
"Honda Amaze [2013-2018] 1.2 VX AT i-VTEC",Honda,Amaze,2017,white,sedan,37315,1st,5
"Honda Amaze [2013-2018] 1.2 VX i-VTEC",Honda,Amaze,2014,red,sedan,63170,2nd,5
"Honda Amaze [2013-2018] 1.2 VX i-VTEC",Honda,Amaze,2015,white,sedan,44188,1st,5
"Honda Amaze [2018-2021] 1.2 VX i-VTEC",Honda,Amaze,2018,white,sedan,33454,1st,5
"Honda Amaze [2018-2021] 1.2 VX i-VTEC",Honda,Amaze,2019,brown,sedan,20604,1st,5
"Honda Amaze [2018-2021] 1.2 VX i-VTEC",Honda,Amaze,2020,white,sedan,7981,1st,5
"Honda Amaze 1.2 V CVT Petrol",Honda,Amaze,2018,brown,sedan,16348,1st,5
"Honda Amaze 1.2 VX CVT i-VTEC",Honda,Amaze,2019,brown,sedan,17691,1st,5
"Honda Amaze 1.5 VX CVT i-DTEC",Honda,Amaze,2019,white,sedan,29780,1st,5
"Honda Brio [2011-2016] S MT",Honda,Brio,2012,silver,hatchback,84488,1st,5
"Honda Brio [2011-2016] V MT",Honda,Brio,2012,grey,hatchback,28108,2nd,5
"Honda City [2008-2013] V",Honda,City,2013,red,sedan,73382,1st,5
"Honda City [2008-2013] V AT",Honda,City,2011,black,sedan,90745,1st,5
"Honda City [2014-2017] SV",Honda,City,2014,brown,sedan,55410,2nd,5
"Honda City [2014-2017] V",Honda,City,2015,silver,sedan,76926,1st,5
"Honda City [2014-2017] VX CVT",Honda,City,2015,white,sedan,50821,2nd,5
"Honda City [2014-2017] VX CVT",Honda,City,2016,silver,sedan,43992,1st,5
"Honda City [2017-2020] VX",Honda,City,2017,white,sedan,47154,1st,5
"Honda City [2017-2020] VX",Honda,City,2018,white,sedan,14861,1st,5
"Honda City [2017-2020] ZX CVT",Honda,City,2017,white,sedan,34480,1st,5
"Honda City [2017-2020] ZX CVT",Honda,City,2018,brown,sedan,16006,1st,5
"Honda City V",Honda,City,2017,brown,sedan,46935,1st,5
"Honda City V",Honda,City,2018,brown,sedan,60209,1st,5
"Honda City V",Honda,City,2019,silver,sedan,24136,2nd,5
"Honda City V",Honda,City,2020,white,sedan,24218,1st,5
"Honda City V",Honda,City,2021,white,sedan,17790,1st,5
"Honda City VX",Honda,City,2020,white,sedan,13209,1st,5
"Honda City VX",Honda,City,2021,white,sedan,12092,1st,5
"Honda City ZX",Honda,City,2020,brown,sedan,14414,1st,5
"Honda City ZX CVT",Honda,City,2021,silver,sedan,7434,1st,5
"Honda Jazz [2015-2020] S AT",Honda,Jazz,2015,white,hatchback,49536,1st,5
"Honda Jazz [2015-2020] SV MT",Honda,Jazz,2016,silver,hatchback,36822,1st,5
"Honda Jazz [2015-2020] SV MT",Honda,Jazz,2017,red,hatchback,56221,1st,5
"Honda Jazz V CVT",Honda,Jazz,2017,white,hatchback,53613,2nd,5
"Honda Jazz V MT",Honda,Jazz,2015,maroon,hatchback,63279,1st,5
"Honda Jazz V MT",Honda,Jazz,2016,orange,hatchback,22856,1st,5
"Honda Jazz V MT",Honda,Jazz,2018,silver,hatchback,13074,1st,5
"Honda Jazz VX MT",Honda,Jazz,2015,white,hatchback,50735,2nd,5
"Honda Jazz VX MT",Honda,Jazz,2016,red,hatchback,48606,2nd,5
"Honda Mobilio [2014-2017] S Petrol",Honda,Mobilio,2015,grey,muv,48947,1st,7
"Honda Mobilio [2014-2017] V Petrol",Honda,Mobilio,2015,silver,muv,42933,2nd,7
"Honda WR-V i-DTEC VX",Honda,WR-V,2018,silver,suv,81799,1st,5
"Honda WR-V i-DTEC VX",Honda,WR-V,2019,red,suv,30457,1st,5
"Honda WR-V VX i-VTEC",Honda,WR-V,2017,silver,suv,28831,1st,5
"Honda WR-V VX i-VTEC",Honda,WR-V,2019,white,suv,29540,2nd,5
"Hyundai Creta [2015-2018] 1.6 S Petrol",Hyundai,Creta,2016,beige,suv,90147,1st,5
"Hyundai Creta [2015-2018] 1.6 S Plus Auto",Hyundai,Creta,2017,silver,suv,44894,1st,5
"Hyundai Creta [2015-2018] 1.6 SX",Hyundai,Creta,2017,black,suv,50749,1st,5
"Hyundai Creta [2015-2018] 1.6 SX Plus",Hyundai,Creta,2017,grey,suv,88895,2nd,5
"Hyundai Creta [2015-2018] 1.6 SX Plus Auto",Hyundai,Creta,2016,grey,suv,88735,2nd,5
"Hyundai Creta [2015-2018] 1.6 SX Plus Auto",Hyundai,Creta,2017,red,suv,66868,1st,5
"Hyundai Creta [2015-2018] 1.6 SX Plus Auto Petrol",Hyundai,Creta,2017,silver,suv,50872,1st,5
"Hyundai Creta [2015-2018] 1.6 SX Plus Petrol",Hyundai,Creta,2016,red,suv,60578,1st,5
"Hyundai Creta [2015-2018] 1.6 SX Plus Petrol",Hyundai,Creta,2017,black,suv,62805,1st,5
"Hyundai Creta [2015-2018] 1.6 SX Plus Petrol",Hyundai,Creta,2018,red,suv,25411,1st,5
"Hyundai Creta [2018-2020] 1.6 SX",Hyundai,Creta,2019,grey,suv,85981,1st,5
"Hyundai Creta [2018-2020] 1.6 SX OPT VTVT",Hyundai,Creta,2018,red,suv,70015,1st,5
"Hyundai Creta [2018-2020] 1.6 SX OPT VTVT",Hyundai,Creta,2019,red,suv,58693,1st,5
"Hyundai Creta [2018-2020] 1.6 SX VTVT",Hyundai,Creta,2019,white,suv,26198,1st,5
"Hyundai Creta SX OPT Turbo DCT Petrol",Hyundai,Creta,2021,black,suv,12285,1st,5
"Hyundai Elite i20 [2014-2018] Asta 1.2",Hyundai,"Elite i20",2014,white,hatchback,96077,1st,5
"Hyundai Elite i20 [2014-2018] Asta 1.2",Hyundai,"Elite i20",2015,silver,hatchback,33439,2nd,5
"Hyundai Elite i20 [2014-2018] Asta 1.2",Hyundai,"Elite i20",2016,white,hatchback,85602,1st,5
"Hyundai Elite i20 [2014-2018] Asta 1.2",Hyundai,"Elite i20",2017,blue,hatchback,22127,1st,5
"Hyundai Elite i20 [2014-2018] Asta 1.2 (O)",Hyundai,"Elite i20",2015,silver,hatchback,37837,1st,5
"Hyundai Elite i20 [2014-2018] Asta 1.2 (O)",Hyundai,"Elite i20",2016,grey,hatchback,30797,2nd,5
"Hyundai Elite i20 [2014-2018] Asta 1.2 (O)",Hyundai,"Elite i20",2017,white,hatchback,49775,2nd,5
"Hyundai Elite i20 [2014-2018] Asta 1.2 Dual Tone",Hyundai,"Elite i20",2018,white,hatchback,31912,1st,5
"Hyundai Elite i20 [2014-2018] Asta 1.4 CRDI",Hyundai,"Elite i20",2015,white,hatchback,81103,1st,5
"Hyundai Elite i20 [2014-2018] Asta 1.4 CRDI",Hyundai,"Elite i20",2017,white,hatchback,33545,1st,5
"Hyundai Elite i20 [2014-2018] Asta 1.4 CRDI (O)",Hyundai,"Elite i20",2016,red,hatchback,93446,1st,5
"Hyundai Elite i20 [2014-2018] Asta 1.4 CRDI (O)",Hyundai,"Elite i20",2017,grey,hatchback,41443,1st,5
"Hyundai Elite i20 [2014-2018] Magna 1.2",Hyundai,"Elite i20",2016,blue,hatchback,94389,1st,5
"Hyundai Elite i20 [2014-2018] Sportz 1.2",Hyundai,"Elite i20",2015,red,hatchback,77836,1st,5
"Hyundai Elite i20 [2014-2018] Sportz 1.2",Hyundai,"Elite i20",2016,red,hatchback,52261,1st,5
"Hyundai Elite i20 [2014-2018] Sportz 1.2",Hyundai,"Elite i20",2017,red,hatchback,54233,1st,5
"Hyundai Elite i20 [2014-2018] Sportz 1.4 CRDI",Hyundai,"Elite i20",2016,white,hatchback,41218,1st,5
"Hyundai Elite i20 [2017-2018] Magna Executive 1.2",Hyundai,"Elite i20",2017,white,hatchback,24353,1st,5
"Hyundai Elite i20 [2018-2020] Asta 1.2",Hyundai,"Elite i20",2018,red,hatchback,54836,1st,5
"Hyundai Elite i20 [2018-2020] Asta 1.4 CRDI",Hyundai,"Elite i20",2018,orange,hatchback,44188,1st,5
"Hyundai Elite i20 [2018-2020] Magna Executive 1.2",Hyundai,"Elite i20",2018,blue,hatchback,19056,1st,5
"Hyundai Elite i20 [2018-2020] Magna Plus 1.2",Hyundai,"Elite i20",2019,red,hatchback,24860,1st,5
"Hyundai Elite i20 [2018-2020] Magna Plus 1.2",Hyundai,"Elite i20",2020,red,hatchback,14502,1st,5
"Hyundai Elite i20 [2018-2020] Sportz 1.2",Hyundai,"Elite i20",2018,red,hatchback,17121,1st,5
"Hyundai Elite i20 [2018-2020] Sportz Plus 1.2",Hyundai,"Elite i20",2019,blue,hatchback,23505,1st,5
"Hyundai Elite i20 [2018-2020] Sportz Plus 1.2",Hyundai,"Elite i20",2020,white,hatchback,30590,1st,5
"Hyundai Eon [2011-2018] D-Lite+",Hyundai,Eon,2014,grey,hatchback,38592,2nd,5
"Hyundai Eon [2011-2018] Era +",Hyundai,Eon,2012,blue,hatchback,40097,1st,5
"Hyundai Eon [2011-2018] Era +",Hyundai,Eon,2013,blue,hatchback,19600,1st,5
"Hyundai Eon [2011-2018] Era +",Hyundai,Eon,2015,red,hatchback,40959,1st,5
"Hyundai Eon [2011-2018] Era +",Hyundai,Eon,2018,white,hatchback,48670,2nd,5
"Hyundai Eon [2011-2018] Era + (O)",Hyundai,Eon,2017,white,hatchback,55670,1st,5
"Hyundai Eon [2011-2018] Era + SE",Hyundai,Eon,2013,red,hatchback,48721,1st,5
"Hyundai Eon [2011-2018] Era + SE",Hyundai,Eon,2017,white,hatchback,40187,1st,5
"Hyundai Eon [2011-2018] Magna +",Hyundai,Eon,2013,red,hatchback,93653,2nd,5
"Hyundai Eon [2011-2018] Magna +",Hyundai,Eon,2016,red,hatchback,47487,2nd,5
"Hyundai Eon [2011-2018] Magna +",Hyundai,Eon,2017,red,hatchback,18790,1st,5
"Hyundai Eon [2011-2018] Magna +",Hyundai,Eon,2018,red,hatchback,24428,1st,5
"Hyundai Eon [2011-2018] Sportz",Hyundai,Eon,2017,white,hatchback,40158,1st,5
"Hyundai Eon [2011-2018] Sportz",Hyundai,Eon,2018,red,hatchback,11225,1st,5
"Hyundai Fluidic Verna 4S [2015-2017] 1.6 CRDi SX",Hyundai,"Fluidic Verna 4S",2017,silver,sedan,95862,1st,5
"Hyundai Fluidic Verna 4S [2015-2018] 1.6 VTVT SX",Hyundai,"Fluidic Verna 4S",2017,grey,sedan,25905,1st,5
"Hyundai Fluidic Verna 4S [2015-2018] 1.6 VTVT SX AT",Hyundai,"Fluidic Verna 4S",2017,white,sedan,60287,1st,5
"Hyundai Grand i10 [2013-2017] Asta 1.2 Kappa VTVT",Hyundai,"Grand i10",2013,red,hatchback,68842,1st,5
"Hyundai Grand i10 [2013-2017] Asta 1.2 Kappa VTVT",Hyundai,"Grand i10",2014,blue,hatchback,58748,2nd,5
"Hyundai Grand i10 [2013-2017] Asta 1.2 Kappa VTVT (O)",Hyundai,"Grand i10",2015,grey,hatchback,32754,1st,5
"Hyundai Grand i10 [2013-2017] Asta 1.2 Kappa VTVT (O)",Hyundai,"Grand i10",2016,grey,hatchback,20685,1st,5
"Hyundai Grand i10 [2013-2017] Asta AT 1.2 Kappa VTVT",Hyundai,"Grand i10",2014,grey,hatchback,35461,2nd,5
"Hyundai Grand i10 [2013-2017] Asta AT 1.2 Kappa VTVT",Hyundai,"Grand i10",2015,orange,hatchback,99001,1st,5
"Hyundai Grand i10 [2013-2017] Asta AT 1.2 Kappa VTVT",Hyundai,"Grand i10",2016,white,hatchback,30045,2nd,5
"Hyundai Grand i10 [2013-2017] Sportz 1.2 Kappa VTVT",Hyundai,"Grand i10",2014,grey,hatchback,35703,1st,5
"Hyundai Grand i10 [2013-2017] Sportz 1.2 Kappa VTVT",Hyundai,"Grand i10",2015,silver,hatchback,54287,1st,5
"Hyundai Grand i10 [2013-2017] Sportz 1.2 Kappa VTVT",Hyundai,"Grand i10",2016,grey,hatchback,43877,1st,5
"Hyundai Grand i10 [2013-2017] Sportz 1.2 Kappa VTVT",Hyundai,"Grand i10",2017,white,hatchback,39525,2nd,5
"Hyundai Grand i10 [2017-2020] Asta 1.2 Kappa VTVT",Hyundai,"Grand i10",2017,orange,hatchback,25126,1st,5
"Hyundai Grand i10 [2017-2020] Asta 1.2 Kappa VTVT",Hyundai,"Grand i10",2018,grey,hatchback,60873,1st,5
"Hyundai Grand i10 [2017-2020] Asta 1.2 Kappa VTVT",Hyundai,"Grand i10",2019,grey,hatchback,40498,1st,5
"Hyundai Grand i10 [2017-2020] Magna 1.2 Kappa VTVT",Hyundai,"Grand i10",2017,red,hatchback,11304,1st,5
"Hyundai Grand i10 [2017-2020] Magna 1.2 Kappa VTVT",Hyundai,"Grand i10",2018,grey,hatchback,16760,1st,5
"Hyundai Grand i10 [2017-2020] Magna 1.2 Kappa VTVT",Hyundai,"Grand i10",2019,grey,hatchback,11734,1st,5
"Hyundai Grand i10 [2017-2020] Sportz (O) 1.2 kappa VTVT",Hyundai,"Grand i10",2017,silver,hatchback,16150,1st,5
"Hyundai Grand i10 [2017-2020] Sportz (O) 1.2 kappa VTVT",Hyundai,"Grand i10",2018,blue,hatchback,24745,1st,5
"Hyundai Grand i10 [2017-2020] Sportz 1.2 Kappa VTVT",Hyundai,"Grand i10",2017,silver,hatchback,37237,2nd,5
"Hyundai Grand i10 [2017-2020] Sportz 1.2 Kappa VTVT",Hyundai,"Grand i10",2018,grey,hatchback,28557,2nd,5
"Hyundai Grand i10 [2017-2020] Sportz 1.2 Kappa VTVT",Hyundai,"Grand i10",2019,grey,hatchback,25632,1st,5
"Hyundai Grand i10 [2017-2020] Sportz 1.2 Kappa VTVT",Hyundai,"Grand i10",2020,grey,hatchback,18915,2nd,5
"Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT",Hyundai,"Grand i10 Nios",2021,blue,hatchback,10514,1st,5
"Hyundai Grand i10 Nios Sportz AMT 1.2 Kappa VTVT",Hyundai,"Grand i10 Nios",2021,blue,hatchback,16304,1st,5
"Hyundai Grand i10 Nios Sportz AMT 1.2 Kappa VTVT",Hyundai,"Grand i10 Nios",2022,blue,hatchback,4305,1st,5
"Hyundai i10 [2010-2016] Era Petrol",Hyundai,i10,2011,grey,hatchback,77554,1st,5
"Hyundai i10 [2010-2016] Era Petrol",Hyundai,i10,2012,grey,hatchback,63676,1st,5
"Hyundai i10 [2010-2016] Era Petrol",Hyundai,i10,2013,white,hatchback,37652,1st,5
"Hyundai i10 [2010-2016] Magna 1.2 Petrol",Hyundai,i10,2011,beige,hatchback,43953,1st,5
"Hyundai i10 [2010-2016] Magna 1.2 Petrol",Hyundai,i10,2012,red,hatchback,49014,2nd,5
"Hyundai i10 [2010-2016] Magna 1.2 Petrol",Hyundai,i10,2013,red,hatchback,32849,1st,5
"Hyundai i10 [2010-2016] Magna Petrol",Hyundai,i10,2011,silver,hatchback,49985,1st,5
"Hyundai i10 [2010-2016] Magna Petrol",Hyundai,i10,2014,grey,hatchback,92092,1st,5
"Hyundai i10 [2010-2016] Magna Petrol",Hyundai,i10,2015,silver,hatchback,25413,2nd,5
"Hyundai i10 [2010-2016] Magna Petrol",Hyundai,i10,2016,silver,hatchback,35387,1st,5
"Hyundai i10 [2010-2016] Sportz 1.2 Petrol",Hyundai,i10,2011,red,hatchback,62840,1st,5
"Hyundai i10 [2010-2016] Sportz 1.2 Petrol",Hyundai,i10,2013,silver,hatchback,24858,1st,5
"Hyundai i10 [2010-2016] Sportz AT Petrol",Hyundai,i10,2011,grey,hatchback,43918,2nd,5
"Hyundai i10 [2010-2016] Sportz AT Petrol",Hyundai,i10,2013,silver,hatchback,72356,1st,5
"Hyundai i10 [2010-2016] Sportz Petrol",Hyundai,i10,2014,grey,hatchback,41667,2nd,5
"Hyundai i10 [2010-2016] Sportz Petrol",Hyundai,i10,2015,white,hatchback,24631,1st,5
"Hyundai i10 [2010-2016] Sportz Petrol",Hyundai,i10,2016,white,hatchback,26910,2nd,5
"Hyundai i20 [2008-2012] Magna 1.2",Hyundai,i20,2011,white,hatchback,46251,2nd,5
