Car_Name,Make,Model,Make_Year,Color,Body_Type,Mileage_Run,No_of_Owners,Seating_Capacity
"Maruti Suzuki Eeco AC 5 STR","Maruti Suzuki",Eeco,2020,silver,muv,26190,1st,5
"Maruti Suzuki Eeco AC 5 STR","Maruti Suzuki",Eeco,2021,silver,muv,14560,1st,5
"Maruti Suzuki Ertiga [2012-2015] Vxi","Maruti Suzuki",Ertiga,2013,silver,muv,91796,1st,7
"Maruti Suzuki Ertiga [2012-2015] Vxi","Maruti Suzuki",Ertiga,2015,brown,muv,5475,1st,7
"Maruti Suzuki Ertiga [2012-2015] ZDi","Maruti Suzuki",Ertiga,2015,brown,muv,51844,1st,7
"Maruti Suzuki Ertiga [2012-2015] ZXi","Maruti Suzuki",Ertiga,2013,grey,muv,67020,1st,7
"Maruti Suzuki Ertiga [2015-2018] ZDI","Maruti Suzuki",Ertiga,2016,white,muv,54971,1st,7
"Maruti Suzuki Ertiga [2015-2018] ZDI + SHVS","Maruti Suzuki",Ertiga,2016,blue,muv,35128,1st,7
"Maruti Suzuki Ertiga [2015-2018] ZDI + SHVS","Maruti Suzuki",Ertiga,2018,blue,muv,58025,1st,7
"Maruti Suzuki Ignis [2017-2020] Alpha AMT Petrol","Maruti Suzuki",Ignis,2018,blue,hatchback,24811,1st,5
"Maruti Suzuki Ignis [2017-2020] Alpha MT Petrol","Maruti Suzuki",Ignis,2017,blue,hatchback,26203,1st,5
"Maruti Suzuki Ignis [2017-2020] Zeta AMT Petrol","Maruti Suzuki",Ignis,2018,red,hatchback,57286,1st,5
"Maruti Suzuki Omni [2011-2019] 5 STR BS-IV","Maruti Suzuki",Omni,2016,silver,muv,38717,1st,5
"Maruti Suzuki Omni [2011-2019] E 8 STR BS-IV","Maruti Suzuki",Omni,2014,silver,muv,57964,2nd,8
"Maruti Suzuki Omni [2011-2019] E 8 STR BS-IV","Maruti Suzuki",Omni,2019,blue,muv,27409,1st,8
"Maruti Suzuki Ritz [2009-2012] Vdi","Maruti Suzuki",Ritz,2012,white,hatchback,46447,1st,5
"Maruti Suzuki Ritz [2009-2012] VXI","Maruti Suzuki",Ritz,2011,brown,hatchback,53349,1st,5
"Maruti Suzuki Ritz [2009-2012] VXI","Maruti Suzuki",Ritz,2012,silver,hatchback,70568,2nd,5
"Maruti Suzuki Ritz [2012-2017] Vxi","Maruti Suzuki",Ritz,2013,silver,hatchback,59010,1st,5
"Maruti Suzuki Ritz [2012-2017] Vxi","Maruti Suzuki",Ritz,2014,red,hatchback,48449,1st,5
"Maruti Suzuki Ritz [2012-2017] Vxi","Maruti Suzuki",Ritz,2015,red,hatchback,14593,1st,5
"Maruti Suzuki Ritz [2012-2017] Zxi","Maruti Suzuki",Ritz,2014,grey,hatchback,45887,2nd,5
"Maruti Suzuki Ritz [2012-2017] Zxi","Maruti Suzuki",Ritz,2016,white,hatchback,56280,1st,5
"Maruti Suzuki S-Cross [2015-2020] Sigma 1.3","Maruti Suzuki",S-Cross,2017,brown,suv,83551,1st,5
"Maruti Suzuki S-Cross [2015-2020] Zeta 1.3","Maruti Suzuki",S-Cross,2015,white,suv,39515,1st,5
"Maruti Suzuki S-Cross [2015-2020] Zeta 1.3","Maruti Suzuki",S-Cross,2016,brown,suv,52220,1st,5
"Maruti Suzuki S-Cross [2017-2020] Zeta 1.3","Maruti Suzuki",S-Cross,2018,blue,suv,52291,2nd,5
"Maruti Suzuki S-Cross Alpha 1.5","Maruti Suzuki",S-Cross,2020,blue,suv,20156,1st,5
"Maruti Suzuki S-Presso VXI","Maruti Suzuki",S-Presso,2019,blue,hatchback,3474,1st,5
"Maruti Suzuki S-Presso VXI","Maruti Suzuki",S-Presso,2020,grey,hatchback,18282,1st,5
"Maruti Suzuki S-Presso VXI","Maruti Suzuki",S-Presso,2021,grey,hatchback,15836,1st,5
"Maruti Suzuki S-Presso VXI CNG","Maruti Suzuki",S-Presso,2021,silver,hatchback,17101,1st,5
"Maruti Suzuki S-Presso VXI Opt CNG","Maruti Suzuki",S-Presso,2022,white,hatchback,12076,1st,5
"Maruti Suzuki S-Presso VXI+","Maruti Suzuki",S-Presso,2019,white,hatchback,15878,2nd,5
"Maruti Suzuki S-Presso VXI+","Maruti Suzuki",S-Presso,2020,grey,hatchback,6470,1st,5
"Maruti Suzuki S-Presso VXI+","Maruti Suzuki",S-Presso,2021,red,hatchback,2163,1st,5
"Maruti Suzuki Swift [2007-2011] VXi","Maruti Suzuki",Swift,2011,silver,hatchback,53160,1st,5
"Maruti Suzuki Swift [2007-2011] VXI ABS","Maruti Suzuki",Swift,2011,grey,hatchback,51210,2nd,5
"Maruti Suzuki Swift [2011-2017] VDi","Maruti Suzuki",Swift,2012,black,hatchback,82049,1st,5
"Maruti Suzuki Swift [2011-2017] VDi","Maruti Suzuki",Swift,2013,red,hatchback,77692,1st,5
"Maruti Suzuki Swift [2011-2017] VDi","Maruti Suzuki",Swift,2014,silver,hatchback,74660,2nd,5
"Maruti Suzuki Swift [2011-2017] VXI","Maruti Suzuki",Swift,2013,white,hatchback,47013,1st,5
"Maruti Suzuki Swift [2011-2017] ZDi","Maruti Suzuki",Swift,2014,grey,hatchback,48079,1st,5
"Maruti Suzuki Swift [2017-2020] ZDi Plus","Maruti Suzuki",Swift,2018,red,hatchback,73950,1st,5
"Maruti Suzuki Swift [2017-2021] LXI","Maruti Suzuki",Swift,2021,blue,hatchback,9384,1st,5
"Maruti Suzuki Swift [2017-2021] VXi","Maruti Suzuki",Swift,2020,grey,hatchback,8249,1st,5
"Maruti Suzuki Swift [2017-2021] VXI AMT","Maruti Suzuki",Swift,2020,red,hatchback,38199,2nd,5
"Maruti Suzuki Swift [2017-2021] ZXI","Maruti Suzuki",Swift,2019,white,hatchback,31994,1st,5
"Maruti Suzuki Swift [2017-2021] ZXi AMT","Maruti Suzuki",Swift,2019,grey,hatchback,21992,2nd,5
"Maruti Suzuki Swift [2017-2021] ZXi AMT","Maruti Suzuki",Swift,2021,white,hatchback,9752,1st,5
"Maruti Suzuki Swift [2017-2021] ZXi Plus","Maruti Suzuki",Swift,2019,red,hatchback,15508,1st,5
"Maruti Suzuki Swift [2017-2021] ZXi Plus","Maruti Suzuki",Swift,2020,red,hatchback,27437,1st,5
"Maruti Suzuki Swift Dzire [2008-2012] VXI","Maruti Suzuki","Swift Dzire",2011,grey,sedan,71460,1st,5
"Maruti Suzuki Swift Dzire [2012-2017] VDI","Maruti Suzuki","Swift Dzire",2012,beige,sedan,70628,1st,5
"Maruti Suzuki Swift Dzire [2012-2017] VDI","Maruti Suzuki","Swift Dzire",2013,silver,sedan,61796,1st,5
"Maruti Suzuki Swift Dzire [2012-2017] VXi","Maruti Suzuki","Swift Dzire",2012,silver,sedan,37258,1st,5
"Maruti Suzuki Swift Dzire [2012-2017] VXi","Maruti Suzuki","Swift Dzire",2013,grey,sedan,74652,1st,5
"Maruti Suzuki Swift Dzire [2012-2017] VXI AT","Maruti Suzuki","Swift Dzire",2014,white,sedan,70563,2nd,5
"Maruti Suzuki Swift Dzire [2012-2017] ZXI","Maruti Suzuki","Swift Dzire",2014,blue,sedan,28562,1st,5
"Maruti Suzuki Swift VXI","Maruti Suzuki",Swift,2021,red,hatchback,7881,1st,5
"Maruti Suzuki Swift VXI AMT","Maruti Suzuki",Swift,2022,silver,hatchback,11047,1st,5
"Maruti Suzuki Vitara Brezza [2016-2020] VDi","Maruti Suzuki","Vitara Brezza",2017,blue,suv,53719,1st,5
"Maruti Suzuki Vitara Brezza [2016-2020] VDi (O)","Maruti Suzuki","Vitara Brezza",2016,white,suv,38729,1st,5
"Maruti Suzuki Vitara Brezza [2016-2020] ZDi","Maruti Suzuki","Vitara Brezza",2017,white,suv,28476,1st,5
"Maruti Suzuki Vitara Brezza [2016-2020] ZDI PLUS Dual Tone","Maruti Suzuki","Vitara Brezza",2016,yellow,suv,40003,1st,5
"Maruti Suzuki Vitara Brezza [2018-2020] ZDi AMT","Maruti Suzuki","Vitara Brezza",2018,silver,suv,35042,1st,5
"Maruti Suzuki Vitara Brezza [2018-2020] ZDI PLUS AT Dual Tone","Maruti Suzuki","Vitara Brezza",2018,red,suv,31570,1st,5
"Maruti Suzuki Vitara Brezza [2018-2020] ZDI PLUS AT Dual Tone","Maruti Suzuki","Vitara Brezza",2019,red,suv,15418,1st,5
"Maruti Suzuki Wagon R 1.0 [2010-2019] LXI","Maruti Suzuki","Wagon R 1.0",2011,brown,hatchback,43763,1st,5
"Maruti Suzuki Wagon R 1.0 [2010-2019] LXI","Maruti Suzuki","Wagon R 1.0",2012,grey,hatchback,40078,1st,5
"Maruti Suzuki Wagon R 1.0 [2010-2019] VXI","Maruti Suzuki","Wagon R 1.0",2011,brown,hatchback,96939,1st,5
"Maruti Suzuki Wagon R 1.0 [2010-2019] VXI","Maruti Suzuki","Wagon R 1.0",2012,blue,hatchback,53015,2nd,5
"Maruti Suzuki Wagon R 1.0 [2010-2019] VXI","Maruti Suzuki","Wagon R 1.0",2013,grey,hatchback,55995,1st,5
"Maruti Suzuki Wagon R 1.0 [2015-2019] VXI AMT","Maruti Suzuki","Wagon R 1.0",2016,white,hatchback,83377,1st,5
"Maruti Suzuki Wagon R 1.0 [2015-2019] VXI AMT","Maruti Suzuki","Wagon R 1.0",2017,grey,hatchback,27876,1st,5
"Maruti Suzuki Wagon R 1.2 [2019-2022] ZXI","Maruti Suzuki","Wagon R 1.2",2019,silver,hatchback,18988,1st,5
"MG Motors Hector 1.5 Hybrid Sharp DCT Dual Tone","MG Motors",Hector,2020,red,suv,8265,1st,5
"MG Motors Hector 1.5 Hybrid Smart","MG Motors",Hector,2019,black,suv,28787,1st,5
"MG Motors Hector 1.5 Sharp DCT AT","MG Motors",Hector,2019,red,suv,25219,1st,5
"MG Motors Hector 1.5 Sharp DCT AT","MG Motors",Hector,2020,maroon,suv,33433,1st,5
"MG Motors Hector 2.0 Sharp","MG Motors",Hector,2020,white,suv,36581,1st,5
"MG Motors Hector 2.0 Sharp","MG Motors",Hector,2021,white,suv,49279,1st,5
"MG Motors Hector Plus Sharp 1.5 Petrol Turbo DCT 6-STR","MG Motors","Hector Plus",2020,black,suv,44897,1st,6
"Nissan Magnite XV Premium Turbo (O)",Nissan,Magnite,2021,silver,suv,8197,1st,5
"Nissan Magnite XV Premium Turbo CVT",Nissan,Magnite,2022,brown,suv,3832,1st,5
"Nissan Magnite XV Premium Turbo CVT (O)",Nissan,Magnite,2022,red,suv,5129,1st,5
"Nissan Micra Active [2012-2020] XV Safety Pack",Nissan,"Micra Active",2015,silver,hatchback,48656,1st,5
"Renault Captur [2017-2020] RXT Dual Tone",Renault,Captur,2017,brown,suv,16556,2nd,5
"Renault Captur [2017-2020] RXT Dual Tone",Renault,Captur,2018,brown,suv,6603,1st,5
"Renault Duster [2012-2015] 85 PS RxL (Opt)",Renault,Duster,2013,silver,suv,88547,1st,5
"Renault Duster [2012-2015] 85 PS RxL (Opt)",Renault,Duster,2014,silver,suv,85751,1st,5
"Renault Duster [2015-2016] 85 PS RXL EXPLORE",Renault,Duster,2015,white,suv,87057,1st,5
"Renault Duster [2015-2019] 110 PS RXL 4X2 MT",Renault,Duster,2015,red,suv,59680,1st,5
"Renault Duster [2015-2019] 110 PS RXZ 4X2 AMT",Renault,Duster,2016,orange,suv,69658,1st,5
"Renault Duster [2015-2019] 110 PS RXZ 4X2 AMT",Renault,Duster,2017,orange,suv,70137,1st,5
"Renault Duster [2015-2019] 110 PS RXZ 4X2 AMT",Renault,Duster,2018,grey,suv,18005,1st,5
"Renault Duster [2015-2019] 110 PS RXZ 4X2 MT",Renault,Duster,2018,bronze,suv,57995,1st,5
"Renault Duster [2015-2019] 85 PS RXZ 4X2 MT",Renault,Duster,2017,bronze,suv,77127,2nd,5
"Renault Duster RXS Petrol",Renault,Duster,2021,grey,suv,19722,1st,5
"Renault Kiger RXT MT",Renault,Kiger,2022,blue,suv,11031,1st,5
"Renault Kiger RXT MT Dual Tone",Renault,Kiger,2021,silver,suv,21304,1st,5
"Renault Kiger RXZ AMT Dual Tone",Renault,Kiger,2021,grey,suv,30322,1st,5
"Renault Kiger RXZ MT Dual Tone",Renault,Kiger,2021,white,suv,17120,1st,5
"Renault Kiger RXZ Turbo CVT",Renault,Kiger,2021,white,suv,9034,1st,5
"Renault Kwid [2015-2019] 1.0 RXT Opt",Renault,Kwid,2019,grey,hatchback,37865,1st,5
"Renault Kwid [2015-2019] RXE",Renault,Kwid,2015,bronze,hatchback,33390,1st,5
"Renault Kwid [2015-2019] RXL",Renault,Kwid,2018,bronze,hatchback,56387,1st,5
"Renault Kwid [2015-2019] RXL",Renault,Kwid,2019,grey,hatchback,4776,1st,5
"Renault Kwid [2015-2019] RXT",Renault,Kwid,2017,grey,hatchback,29907,1st,5
"Renault Kwid [2015-2019] RXT",Renault,Kwid,2018,red,hatchback,12582,1st,5
"Renault Kwid [2015-2019] RXT Opt",Renault,Kwid,2019,grey,hatchback,22356,1st,5
"Renault Kwid [2016-2019] 1.0 RXT",Renault,Kwid,2017,white,hatchback,71696,1st,5
"Renault Kwid [2017-2019] CLIMBER 1.0 AMT",Renault,Kwid,2019,bronze,hatchback,21996,1st,5
"Renault Kwid [2017-2019] RXT 1.0 SCE Special (O)",Renault,Kwid,2019,grey,hatchback,13111,1st,5
"Renault Kwid 1.0 RXL",Renault,Kwid,2021,blue,hatchback,9285,1st,5
"Renault Kwid 1.0 RXL AMT",Renault,Kwid,2020,bronze,hatchback,27664,1st,5
"Renault Kwid 1.0 RXT AMT",Renault,Kwid,2017,bronze,hatchback,35680,1st,5
"Renault Kwid 1.0 RXT Opt",Renault,Kwid,2019,bronze,hatchback,26350,2nd,5
"Renault Kwid 1.0 RXT Opt",Renault,Kwid,2020,bronze,hatchback,21887,1st,5
"Renault Kwid 1.0 RXT Opt",Renault,Kwid,2021,white,hatchback,13069,1st,5
"Renault Kwid 1.0 RXT Opt",Renault,Kwid,2022,white,hatchback,7342,1st,5
"Renault Kwid CLIMBER 1.0 AMT",Renault,Kwid,2019,blue,hatchback,18638,1st,5
"Renault Kwid CLIMBER 1.0 AMT Opt",Renault,Kwid,2020,blue,hatchback,36069,1st,5
"Renault Kwid RXL",Renault,Kwid,2021,blue,hatchback,5564,1st,5
"Renault Kwid RXT",Renault,Kwid,2019,white,hatchback,23160,1st,5
"Renault Kwid RXT",Renault,Kwid,2021,silver,hatchback,25170,1st,5
"Renault Lodgy [2015-2019] 110 PS RxL",Renault,Lodgy,2015,silver,muv,70520,1st,8
"Renault Lodgy [2015-2019] 110 PS RXZ",Renault,Lodgy,2015,silver,muv,73760,1st,8
"Renault Scala [2012-2018] RxZ Diesel",Renault,Scala,2014,black,sedan,34080,1st,5
"Renault Triber RXT",Renault,Triber,2020,yellow,muv,35400,1st,7
"Renault Triber RXZ",Renault,Triber,2019,white,muv,11074,1st,7
"Renault Triber RXZ",Renault,Triber,2020,blue,muv,57503,1st,7
"Renault Triber RXZ",Renault,Triber,2021,white,muv,7227,1st,7
"Renault Triber RXZ AMT",Renault,Triber,2020,yellow,muv,62659,1st,7
"Skoda Rapid [2011-2016] Ambition Diesel MT",Skoda,Rapid,2012,white,sedan,93981,2nd,5
"Skoda Rapid [2011-2016] Elegance 1.6 MPI AT",Skoda,Rapid,2012,silver,sedan,52326,1st,5
"Skoda Rapid [2011-2016] Elegance Diesel MT",Skoda,Rapid,2012,beige,sedan,99495,1st,5
"Skoda Superb [2014-2016] Elegance 1.8 TSI AT",Skoda,Superb,2014,red,sedan,46103,2nd,5
"Skoda Superb [2019-2020] L&K TSI AT",Skoda,Superb,2019,black,sedan,9686,1st,5
"Tata Altroz XE 1.5",Tata,Altroz,2021,grey,hatchback,12002,1st,5
"Tata Altroz XZ 1.2",Tata,Altroz,2020,golden,hatchback,16329,1st,5
"Tata Altroz XZ 1.2",Tata,Altroz,2021,grey,hatchback,9936,1st,5
"Tata Altroz XZ Plus Turbo",Tata,Altroz,2022,red,hatchback,8560,1st,5
"Tata Altroz XZA+",Tata,Altroz,2022,red,hatchback,1540,1st,5
"Tata Harrier XZ",Tata,Harrier,2019,grey,suv,92603,1st,5
"Tata Harrier XZ Dual Tone",Tata,Harrier,2019,white,suv,19589,1st,5
"Tata Harrier XZ Dual Tone",Tata,Harrier,2020,red,suv,24315,1st,5
"Tata Harrier XZ Dual Tone",Tata,Harrier,2021,white,suv,16090,1st,5
"Tata Harrier XZA Plus Dark Edition AT",Tata,Harrier,2021,black,suv,38143,1st,5
"Tata Nano [2008-2014] LX",Tata,Nano,2013,blue,hatchback,33744,1st,4
"Tata Nano GenX [2015-2018] XT",Tata,"Nano GenX",2015,purple,hatchback,44736,1st,5
"Tata Nexon [2017-2020] XZ Plus Diesel",Tata,Nexon,2018,red,suv,35730,1st,5
"Tata Punch Accomplished AMT",Tata,Punch,2022,white,suv,3679,1st,5
"Tata Punch Creative Dual Tone",Tata,Punch,2022,white,suv,19734,1st,5
"Tata Punch Creative IRA Dual Tone",Tata,Punch,2021,bronze,suv,6491,1st,5
"Tata Punch Creative Kaziranga Edition",Tata,Punch,2022,beige,suv,3174,1st,5
"Tata Safari XZA Plus",Tata,Safari,2021,grey,suv,15059,1st,7
"Tata Tiago [2016-2020] Revotron XT",Tata,Tiago,2019,grey,hatchback,45607,1st,5
"Tata Tiago Revotron XZ Plus",Tata,Tiago,2020,yellow,hatchback,16123,1st,5
"Tata Zest [2014-2019] XT Petrol",Tata,Zest,2017,silver,sedan,7697,1st,5
"Toyota Corolla Altis [2014-2017] G Petrol",Toyota,"Corolla Altis",2016,black,sedan,47767,1st,5
"Toyota Etios [2010-2017] G",Toyota,Etios,2012,silver,sedan,67312,2nd,5
"Toyota Etios [2010-2017] G",Toyota,Etios,2014,grey,sedan,72359,1st,5
"Toyota Etios [2010-2017] V",Toyota,Etios,2013,red,sedan,51187,1st,5
"Toyota Etios [2010-2017] VX",Toyota,Etios,2011,black,sedan,62193,1st,5
"Toyota Etios Liva [2010-2017] G",Toyota,"Etios Liva",2011,silver,hatchback,50857,1st,5
"Toyota Etios Liva [2010-2017] V",Toyota,"Etios Liva",2011,red,hatchback,50009,1st,5
"Toyota Etios Liva [2010-2017] V",Toyota,"Etios Liva",2012,silver,hatchback,42200,2nd,5
"Toyota Etios Liva [2017-2020] VX Dual Tone",Toyota,"Etios Liva",2017,blue,hatchback,17791,1st,5
"Toyota Etios Liva [2017-2020] VX Dual Tone",Toyota,"Etios Liva",2018,white,hatchback,18170,1st,5
"Toyota Glanza [2019-2022] G",Toyota,Glanza,2020,white,hatchback,30130,1st,5
"Toyota Glanza [2019-2022] G",Toyota,Glanza,2021,red,hatchback,6738,1st,5
"Toyota Yaris [2018-2021] J",Toyota,Yaris,2018,white,sedan,35913,2nd,5
"Toyota Yaris [2018-2021] J",Toyota,Yaris,2019,brown,sedan,9242,1st,5
"Toyota Yaris [2018-2021] J",Toyota,Yaris,2020,brown,sedan,7122,1st,5
"Toyota Yaris [2018-2021] J CVT",Toyota,Yaris,2020,white,sedan,13768,1st,5
"Toyota Yaris [2018-2021] VX CVT",Toyota,Yaris,2018,brown,sedan,73664,1st,5
"Toyota Yaris [2018-2021] VX CVT",Toyota,Yaris,2020,red,sedan,26653,2nd,5
"Volkswagen Ameo [2016-2017] Highline 1.5L AT (D)",Volkswagen,Ameo,2017,silver,sedan,44611,1st,5
"Volkswagen Ameo [2016-2020] Comfortline 1.2L (P)",Volkswagen,Ameo,2016,blue,sedan,64313,1st,5
"Volkswagen Ameo [2016-2020] Highline1.2L (P)",Volkswagen,Ameo,2016,brown,sedan,26094,1st,5
"Volkswagen Ameo [2016-2020] Highline1.2L (P)",Volkswagen,Ameo,2017,grey,sedan,33269,1st,5
"Volkswagen Ameo [2016-2020] Highline1.2L Plus (P)",Volkswagen,Ameo,2017,brown,sedan,32492,1st,5
"Volkswagen Jetta [2013-2017] Comfortline TDI",Volkswagen,Jetta,2014,brown,sedan,83265,2nd,5
"Volkswagen Polo [2010-2014] Comfortline 1.2L (P)",Volkswagen,Polo,2011,white,hatchback,92227,2nd,5
"Volkswagen Polo [2010-2014] Comfortline 1.2L (P)",Volkswagen,Polo,2012,silver,hatchback,64878,1st,5
"Volkswagen Polo [2010-2014] Highline1.2L (P)",Volkswagen,Polo,2011,silver,hatchback,68645,2nd,5
"Volkswagen Polo [2010-2014] Highline1.2L (P)",Volkswagen,Polo,2013,grey,hatchback,53735,1st,5
"Volkswagen Polo [2014-2020] Highline 1.5 (D)",Volkswagen,Polo,2014,blue,hatchback,54723,1st,5
"Volkswagen Polo [2014-2020] Highline 1.5 (D)",Volkswagen,Polo,2015,grey,hatchback,53807,1st,5
"Volkswagen Polo [2015-2019] Highline1.2L (P)",Volkswagen,Polo,2016,silver,hatchback,44885,1st,5
"Volkswagen Polo [2016-2018] All Star 1.5 (D)",Volkswagen,Polo,2017,silver,hatchback,90423,1st,5
"Volkswagen Polo [2018-2020] Highline Plus 1.0 (P)",Volkswagen,Polo,2019,silver,hatchback,30378,1st,5
"Volkswagen Polo [2018-2022] Comfortline 1.0L (P)",Volkswagen,Polo,2018,silver,hatchback,26394,1st,5
"Volkswagen Polo [2018-2022] Trendline 1.0 (P)",Volkswagen,Polo,2020,red,hatchback,20427,1st,5
"Volkswagen Vento [2010-2015] Highline Petrol",Volkswagen,Vento,2014,silver,sedan,68269,2nd,5
"Volkswagen Vento [2010-2015] Highline Petrol AT",Volkswagen,Vento,2013,black,sedan,88105,1st,5
"Volkswagen Vento [2015-2019] Highline Petrol AT",Volkswagen,Vento,2016,grey,sedan,70958,1st,5
