Car_Name,Make,Model,Make_Year,Fuel_Type,Fuel_Tank_Capacity_L,Engine_Type,CC_Displacement,Transmission,Transmission_Type,Power_BHP,Torque_Nm,Mileage_kmpl,Emission
"Volkswagen Ameo [2016-2017] Highline 1.5L AT (D)",Volkswagen,Ameo,2017,diesel,45,"1.5L TDI Engine",1498,7-Speed,Automatic,109,250,21.66,"BS IV"
"Hyundai i20 Active [2015-2020] 1.2 SX",Hyundai,"i20 Active",2016,petrol,45,"1.2L Kappa 5 Speed Manual Transmission",1197,5-Speed,Manual,82,115,17.19,"BS V"
"Honda WR-V VX i-VTEC",Honda,WR-V,2019,petrol,40,"i-VTEC Petrol engine",1199,5-Speed,Manual,88.5,110,16.5,"BS IV"
"Renault Kwid 1.0 RXT AMT",Renault,Kwid,2017,petrol,28,1.0L,999,5-Speed,Manual,67,91,21.7,"BS IV"
"Hyundai Grand i10 [2017-2020] Asta 1.2 Kappa VTVT",Hyundai,"Grand i10",2017,petrol,43,"Kappa VTVT Petrol Engine",1197,5-Speed,Manual,81.86,113.75,18.9,"BS V"
"Hyundai Elite i20 [2014-2018] Sportz 1.2",Hyundai,"Elite i20",2016,petrol,45,"Kappa VTVT Petrol Engine",1197,5-Speed,Manual,81.83,114.7,18.6,"BS IV"
"Honda Brio [2011-2016] V MT",Honda,Brio,2012,petrol,35,"4 cylinder inline petrol",1198,5-Speed,Manual,86.8,109,19.4,"BS III"
"Tata Harrier XZ",Tata,Harrier,2019,diesel,50,"Kryotec 2.0 L Turbocharge",1956,6-Speed,Automatic,138,350,17,"BS IV"
"Hyundai Grand i10 Nios Sportz AMT 1.2 Kappa VTVT",Hyundai,"Grand i10 Nios",2021,petrol,37,"1.2 L Kappa Petrol",1197,5-Speed,Manual,81.86,113.75,20.07,"BS IV"
"Renault Kwid 1.0 RXT Opt",Renault,Kwid,2019,petrol,28,"Petrol Engine",999,5-Speed,Manual,67,91,22,"BS IV"
"Renault Triber RXT",Renault,Triber,2020,petrol,40,"1.0L Petrol Engine",999,5-Speed,Manual,71,96,20,"BS IV"
"Chevrolet Cruze [2009-2017] LTZ AT",Chevrolet,Cruze,2013,diesel,60,"VCDi 16V SOHC",1991,6-Speed,Automatic,164,380,17,"BS IV"
"Hyundai Venue [2019-2022] SX Plus 1.0 Turbo DCT",Hyundai,Venue,2019,petrol,45,"Kappa 1.0 L Turbo GDi Petrol",998,7-Speed,Automatic,118.35,171.6,18.15,"BS V"
"Tata Safari XZA Plus",Tata,Safari,2021,diesel,50,"Kryotec 2.0 L Turbocharged Engine",1956,6-Speed,Automatic,167.67,350,17,"BS IV"
"Maruti Suzuki Swift [2017-2021] ZXI","Maruti Suzuki",Swift,2019,petrol,37,"VTVT Engine",1197,5-Speed,Manual,81.8,113,21.21,"BS IV"
"Toyota Yaris [2018-2021] J CVT",Toyota,Yaris,2020,petrol,42,"1.5 Dual VVT-i Engine",1496,CVT,Automatic,105.94,140,17.18,"BS IV"
"Tata Punch Creative Kaziranga Edition",Tata,Punch,2022,petrol,37,"1.2 Revotron",1199,5-Speed,Manual,84,113,18.9,"BS IV"
"Renault Duster [2015-2019] 110 PS RXZ 4X2 AMT",Renault,Duster,2017,diesel,50,"dCi THP Diesel Engine",1461,6-Speed,Automatic,108.45,245,19.6,"BS V"
"Toyota Yaris [2018-2021] J",Toyota,Yaris,2018,petrol,42,"1.5 Dual VVT-i Engine",1496,6-Speed,Automatic,105.94,140,17.18,"BS IV"
"Hyundai Elite i20 [2018-2020] Magna Executive 1.2",Hyundai,"Elite i20",2018,petrol,45,"Kappa VTVT Petrol Engine",1197,5-Speed,Manual,82.85,113.7,18.6,"BS V"
"Volkswagen Ameo [2016-2020] Highline1.2L Plus (P)",Volkswagen,Ameo,2017,petrol,45,"MPI Petrol Engine",1198,5-Speed,Manual,73.75,110,17,"BS V"
"Maruti Suzuki Celerio [2014-2021] VXi","Maruti Suzuki",Celerio,2014,petrol,35,K10B,998,5-Speed,Manual,67.04,90,23.1,"BS IV"
"Hyundai Creta [2018-2020] 1.6 SX",Hyundai,Creta,2019,diesel,55,"U2 VGT CRDi",1582,6-Speed,Automatic,126,260,15.8,"BS V"
"Toyota Etios Liva [2017-2020] VX Dual Tone",Toyota,"Etios Liva",2017,petrol,45,"4-Cylinder 16V, DOHC",1197,5-Speed,Manual,79,104,18.16,"BS V"
"Hyundai i10 [2010-2016] Sportz Petrol",Hyundai,i10,2016,petrol,35,"DOHC Kappa2 Engine",1197,5-Speed,Manual,78.9,111.8,20.36,"BS III"
"Maruti Suzuki Swift Dzire [2012-2017] ZXI","Maruti Suzuki","Swift Dzire",2014,petrol,42,"K Series VVT Engine",1197,5-Speed,Manual,85.8,114,19.1,"BS IV"
"Hyundai Verna [2017-2020] 1.6 VTVT SX",Hyundai,Verna,2019,petrol,43,"Front Wheel Drive",1591,6-Speed,Automatic,121,158,17.4,"BS V"
"Maruti Suzuki Celerio [2014-2021] VXi AMT","Maruti Suzuki",Celerio,2019,petrol,35,K10B,998,5-Speed,Manual,67.04,90,23.1,"BS IV"
"Hyundai Elite i20 [2014-2018] Sportz 1.2",Hyundai,"Elite i20",2017,petrol,45,"Kappa VTVT Petrol Engine",1197,5-Speed,Manual,81.83,114.7,18.6,"BS IV"
"Maruti Suzuki Baleno [2015-2019] Zeta Petrol","Maruti Suzuki",Baleno,2017,petrol,37,"1.2L VVT Engine",1197,5-Speed,Manual,81.8,113,21.01,"BS V"
"Maruti Suzuki Alto K10 [2010-2014] VXi","Maruti Suzuki","Alto K10",2011,petrol,35,"K Series Petrol Engine",998,5-Speed,Manual,67.1,90,20.92,"BS IV"
"Honda Amaze [2013-2018] 1.2 VX AT i-VTEC",Honda,Amaze,2013,petrol,35,"4-Cylinder, SOHC i-VTEC",1198,5-Speed,Manual,86.9,109,18,"BS IV"
"Renault Kwid 1.0 RXL AMT",Renault,Kwid,2020,petrol,28,"1.0L	",999,5-Speed,Manual,67,91,21.7,"BS IV"
"Hyundai New i20 Asta (O) 1.0 Turbo DCT",Hyundai,"New i20",2021,petrol,37,"1.0 l Turbo GDi",998,7-Speed,Automatic,118,172,20.2,"BS IV"
"Hyundai Elite i20 [2014-2018] Asta 1.2 (O)",Hyundai,"Elite i20",2016,petrol,45,"1.2 Kappa petrol with dual VTVT, 16 Valves, 4 Cylinder",1197,5-Speed,Manual,82,115,18.6,"BS IV"
"Honda Amaze [2013-2018] 1.2 VX AT i-VTEC",Honda,Amaze,2017,petrol,35,"4-Cylinder, SOHC i-VTEC",1198,5-Speed,Manual,86.9,109,18,"BS IV"
"Maruti Suzuki Swift VXI AMT","Maruti Suzuki",Swift,2022,petrol,37,"VTVT Engine",1197,5-Speed,Manual,81.8,113,21.21,"BS IV"
"Hyundai Venue S 1.2",Hyundai,Venue,2022,petrol,45,"1.2 Kappa	",1197,5-Speed,Manual,82,114,17.5,"BS IV"
"Tata Altroz XZ 1.2",Tata,Altroz,2020,petrol,37,"1.2 L Revotron",1199,5-Speed,Manual,84.82,113,19.05,"BS IV"
"Tata Punch Accomplished AMT",Tata,Punch,2022,petrol,37,"1.2 Revotron",1199,6-Speed,Automatic,84,113,18.9,"BS IV"
"Hyundai Elite i20 [2014-2018] Asta 1.2",Hyundai,"Elite i20",2014,petrol,45,"Kappa VTVT Petrol Engine",1197,5-Speed,Manual,81.83,114.7,18.6,"BS IV"
"Maruti Suzuki Alto K10 [2014-2019] VXi (O)","Maruti Suzuki","Alto K10",2017,petrol,35,K10B,998,5-Speed,Manual,67,90,24.07,"BS V"
"Hyundai Grand i10 [2017-2020] Asta 1.2 Kappa VTVT",Hyundai,"Grand i10",2018,petrol,43,"Kappa VTVT Petrol Engine",1197,5-Speed,Manual,81.86,113.75,18.9,"BS V"
"Maruti Suzuki Ignis [2017-2020] Alpha AMT Petrol","Maruti Suzuki",Ignis,2018,petrol,32,"1.2-Litre VVT Petrol Engine",1197,5-Speed,Manual,81.8,113,20.89,"BS V"
"Hyundai New i20 Asta (O) 1.0 Turbo DCT",Hyundai,"New i20",2021,petrol,37,"1.0 l Turbo GDi",998,7-Speed,Automatic,118,172,20.2,"BS IV"
"Hyundai Verna [2017-2020] 1.6 CRDI SX (O)",Hyundai,Verna,2018,diesel,43,"Front Wheel Drive",1582,6-Speed,Automatic,126,260,24.75,"BS V"
"Honda City ZX CVT",Honda,City,2021,petrol,40,"1.5L i-VTEC DOHC with VTC Petrol Engine",1498,7-Speed,Automatic,119.35,145,17,"BS IV"
"Hyundai New i20 Asta (O) 1.2 MT",Hyundai,"New i20",2021,petrol,37,"1.2 l Kappa petrol",1197,5-Speed,Manual,82,115,21,"BS IV"
"Renault Kwid [2017-2019] CLIMBER 1.0 AMT",Renault,Kwid,2019,petrol,28,"Petrol Engine",999,5-Speed,Manual,67,91,22,"BS V"
"Maruti Suzuki S-Presso VXI","Maruti Suzuki",S-Presso,2019,petrol,27,"K10B Petrol Engine",998,5-Speed,Manual,67,90,21.7,"BS IV"
"Maruti Suzuki Dzire [2017-2020] VDi AMT","Maruti Suzuki",Dzire,2017,diesel,37," DDiS Diesel Engine",1248,5-Speed,Manual,74,190,28.4,"BS V"
"Hyundai New i20 Asta 1.0 Turbo IMT",Hyundai,"New i20",2020,petrol,37,"1.0 l Turbo GDi",998,6-Speed,Automatic,118,172,20.2,"BS IV"
"Mahindra TUV300 [2015-2020] T8 mHAWK100 AMT",Mahindra,TUV300,2017,diesel,60," mHawk",1493,5-Speed,Manual,100,240,18.49,"BS V"
"Hyundai i10 [2010-2016] Magna Petrol",Hyundai,i10,2016,petrol,35,"4 cylinder inline petrol engine",1197,5-Speed,Manual,68,99.08,19.81,"BS III"
"Maruti Suzuki Eeco AC 5 STR","Maruti Suzuki",Eeco,2020,petrol,40,"Aluminium 32 bit",1197,5-Speed,Manual,72.42,98,16.11,"BS IV"
"Maruti Suzuki Swift [2011-2017] VXI","Maruti Suzuki",Swift,2013,petrol,42,"K Series Petrol Engine",1197,5-Speed,Manual,85.8,114,18.6,"BS IV"
"Maruti Suzuki Dzire [2017-2020] ZXi Plus AMT","Maruti Suzuki",Dzire,2018,petrol,37,"1.2 Litre Petrol Engine",1499,5-Speed,Manual,88.5,113,24.12,"BS V"
"Hyundai Xcent [2014-2017] SX Petrol",Hyundai,Xcent,2015,petrol,43,"1.2 Kappa Dual VTVT Petrol",1197,5-Speed,Manual,81,114,19.1,"BS IV"
"Tata Harrier XZA Plus Dark Edition AT",Tata,Harrier,2021,diesel,50,"2.0 L Kryotec",1956,6-Speed,Automatic,140,350,17,"BS IV"
"Maruti Suzuki Ciaz Alpha AT Petrol","Maruti Suzuki",Ciaz,2021,petrol,43,"K15 Smart Hybrid Petrol E",1462,4-Speed,Automatic,103.25,138,20,"BS IV"
"Tata Altroz XZA+",Tata,Altroz,2022,petrol,37,"1.2 L Revotron",1199,6-Speed,Automatic,84.82,113,19.05,"BS IV"
"Hyundai Creta SX OPT Turbo DCT Petrol",Hyundai,Creta,2021,petrol,50,"1.4L GDi Turbo Petrol",1353,7-Speed,Automatic,138,242.2,16.8,"BS IV"
"Maruti Suzuki Baleno [2015-2019] Alpha Petrol","Maruti Suzuki",Baleno,2015,petrol,37,"1.2L VVT Engine",1197,5-Speed,Manual,81.8,113,21.01,"BS V"
"Maruti Suzuki Wagon R 1.0 [2015-2019] VXI AMT","Maruti Suzuki","Wagon R 1.0",2016,petrol,32,"K10B Petrol Engine",998,5-Speed,Manual,67.05,90,21.79,"BS V"
"Renault Kwid 1.0 RXT Opt",Renault,Kwid,2020,petrol,28,"Petrol Engine",999,5-Speed,Manual,67,91,22,"BS IV"
"Hyundai Grand i10 [2017-2020] Asta 1.2 Kappa VTVT",Hyundai,"Grand i10",2019,petrol,43,"Kappa VTVT Petrol Engine",1197,5-Speed,Manual,81.86,113.75,18.9,"BS V"
"Hyundai New Santro 1.1 Sportz MT",Hyundai,"New Santro 1.1",2020,petrol,35,"1.1 L Petrol",1086,5-Speed,Manual,68.07,99.07,20.3,"BS IV"
"Volkswagen Vento [2015-2019] Highline Petrol AT",Volkswagen,Vento,2016,petrol,55,"TSI Engine",1197,7-Speed,Automatic,103,175,18.19,"BS V"
"Tata Harrier XZ Dual Tone",Tata,Harrier,2021,diesel,50,"Kryotec 2.0 L Turbocharge",1956,6-Speed,Automatic,138,350,17,"BS IV"
"Ford EcoSport [2013-2015] Titanium 1.5L Ti-VCT AT",Ford,EcoSport,2015,petrol,52,"1.5L Ti-VCT (Petrol)",1499,6-Speed,Automatic,109,140,16.5,"BS III"
"Hyundai Verna [2017-2020] 1.6 CRDI SX",Hyundai,Verna,2018,diesel,43,"Front Wheel Drive",1582,6-Speed,Automatic,121,158,24.75,"BS V"
"Hyundai Grand i10 [2017-2020] Sportz 1.2 Kappa VTVT",Hyundai,"Grand i10",2020,petrol,43,"Kappa VTVT Petrol Engine",1197,5-Speed,Manual,81.86,113.75,18.9,"BS V"
"Renault Kwid [2015-2019] RXL",Renault,Kwid,2019,petrol,28,"Petrol Engine",799,5-Speed,Manual,53.3,72,25.17,"BS V"
"Hyundai i20 Active [2015-2020] 1.2 S",Hyundai,"i20 Active",2018,petrol,45,"1.2L Kappa 5 Speed Manual Transmission",1197,5-Speed,Manual,82,115,17.19,"BS V"
"Maruti Suzuki S-Cross [2017-2020] Zeta 1.3","Maruti Suzuki",S-Cross,2018,diesel,48,"DDiS 200",1248,5-Speed,Manual,89,200,23.65,"BS V"
"Hyundai Elite i20 [2014-2018] Asta 1.2 (O)",Hyundai,"Elite i20",2017,petrol,45,"1.2 Kappa petrol with dual VTVT, 16 Valves, 4 Cylinder",1197,5-Speed,Manual,82,115,18.6,"BS IV"
"Maruti Suzuki S-Cross [2015-2020] Sigma 1.3","Maruti Suzuki",S-Cross,2017,diesel,48,"DDiS 200",1248,5-Speed,Manual,89,200,23.65,"BS V"
"Hyundai i20 Active [2015-2020] 1.2 SX",Hyundai,"i20 Active",2018,petrol,45,"1.2L Kappa 5 Speed Manual Transmission",1197,5-Speed,Manual,82,115,17.19,"BS V"
"Honda City ZX",Honda,City,2020,petrol,40,"1.5L i-VTEC DOHC with VTC Petrol Engine",1498,6-Speed,Automatic,119.35,145,18.4,"BS IV"
"Ford EcoSport [2017-2021] Titanium 1.5L Ti-VCT",Ford,EcoSport,2018,petrol,52,"Ti-VCT Petrol Engine",1496,5-Speed,Manual,120.69,149,15.9,"BS IV"
"Maruti Suzuki Swift [2017-2021] VXI AMT","Maruti Suzuki",Swift,2020,petrol,37,"VTVT Engine",1197,5-Speed,Manual,81.8,113,21.21,"BS IV"
"Nissan Magnite XV Premium Turbo (O)",Nissan,Magnite,2021,petrol,40,"1.0L HRAO Turbo",999,5-Speed,Manual,99,160,20,"BS IV"
"Maruti Suzuki Baleno [2015-2019] Zeta AT Petrol","Maruti Suzuki",Baleno,2018,petrol,37,"1.2L VVT Engine",1197,CVT,Automatic,81.8,113,19.56,"BS V"
"Hyundai Xcent [2014-2017] S (O) Petrol",Hyundai,Xcent,2014,petrol,43,"1.2 Kappa Dual VTVT Petrol",1197,5-Speed,Manual,81,114,19.1,"BS IV"
"Maruti Suzuki Ciaz Alpha Petrol","Maruti Suzuki",Ciaz,2021,petrol,43,"K15 Smart Hybrid Petrol E",1499,5-Speed,Manual,103.25,138,20.65,"BS IV"
"Maruti Suzuki Celerio ZXi AMT","Maruti Suzuki",Celerio,2021,petrol,35,"K10B Engine",998,5-Speed,Manual,67.04,90,21.63,"BS IV"
"Volkswagen Polo [2018-2022] Trendline 1.0 (P)",Volkswagen,Polo,2020,petrol,45,"1.0L MPI Petrol",999,5-Speed,Manual,75.1,95,17.74,"BS IV"
"Tata Altroz XZ Plus Turbo",Tata,Altroz,2022,petrol,37,"1.2 L Revotron",1199,5-Speed,Manual,108,140,18.1,"BS IV"
"Hyundai Creta [2018-2020] 1.6 SX OPT VTVT",Hyundai,Creta,2019,petrol,55,"VTVT Petrol Engine",1591,6-Speed,Automatic,121.3,151,15.8,"BS V"
"Maruti Suzuki S-Presso VXI","Maruti Suzuki",S-Presso,2020,petrol,27,"K10B Petrol Engine",998,5-Speed,Manual,67,90,21.7,"BS IV"
"Maruti Suzuki S-Presso VXI","Maruti Suzuki",S-Presso,2020,petrol,27,"K10B Petrol Engine",998,5-Speed,Manual,67,90,21.7,"BS IV"
"Maruti Suzuki Swift [2011-2017] VDi","Maruti Suzuki",Swift,2013,diesel,43,"DDiS Diesel Engine",1248,5-Speed,Manual,74,190,22.9,"BS IV"
"Maruti Suzuki Ciaz Delta Petrol","Maruti Suzuki",Ciaz,2020,petrol,43,"K15 Smart Hybrid Petrol E",1462,5-Speed,Manual,103.25,138,20.65,"BS IV"
"Honda WR-V VX i-VTEC",Honda,WR-V,2017,petrol,40,"i-VTEC Petrol engine",1199,5-Speed,Manual,88.5,110,16.5,"BS IV"
"Toyota Etios [2010-2017] G",Toyota,Etios,2014,petrol,45,"4 cylinder petrol engine",1496,5-Speed,Manual,90,132,17.57,"BS IV"
"Maruti Suzuki Dzire [2017-2020] ZXI","Maruti Suzuki",Dzire,2017,petrol,37,"1.2 Litre Petrol Engine",1197,5-Speed,Manual,88.5,113,23.26,"BS V"
"Hyundai i10 [2010-2016] Sportz AT Petrol",Hyundai,i10,2013,petrol,35,"DOHC Kappa2 Engine",1197,4-Speed,Automatic,78.9,111.8,16.95,"BS III"
"Hyundai Verna [2017-2020] 1.6 CRDI SX",Hyundai,Verna,2018,diesel,43,"Front Wheel Drive",1582,6-Speed,Automatic,121,158,24.75,"BS V"
"Hyundai Elite i20 [2014-2018] Sportz 1.2",Hyundai,"Elite i20",2015,petrol,45,"Kappa VTVT Petrol Engine",1197,5-Speed,Manual,81.83,114.7,18.6,"BS IV"
"Volkswagen Vento [2010-2015] Highline Petrol",Volkswagen,Vento,2014,petrol,55,"MPI Petrol Engine",1598,5-Speed,Manual,103.2,153,16.09,"BS III"
"Renault Triber RXZ AMT",Renault,Triber,2020,petrol,40,"1.0L Petrol Engine",999,5-Speed,Manual,72,96,18.2,"BS IV"
"Maruti Suzuki Dzire [2017-2020] ZXi Plus","Maruti Suzuki",Dzire,2018,petrol,37,"1.2 Litre Petrol Engine",1197,5-Speed,Manual,88.5,113,23.26,"BS V"
"Hyundai Verna [2017-2020] 1.6 CRDI SX (O)",Hyundai,Verna,2018,diesel,43,"Front Wheel Drive",1582,6-Speed,Automatic,126,260,24.75,"BS V"
"Hyundai Elite i20 [2014-2018] Asta 1.2",Hyundai,"Elite i20",2015,petrol,45,"Kappa VTVT Petrol Engine",1197,5-Speed,Manual,81.83,114.7,18.6,"BS IV"
"Honda WR-V i-DTEC VX",Honda,WR-V,2018,diesel,40,"i-DTEC Diesel engine",1498,6-Speed,Automatic,97.89,200,23.7,"BS IV"
"Volkswagen Polo [2018-2020] Highline Plus 1.0 (P)",Volkswagen,Polo,2019,petrol,45,"1.0L MPI Petrol",999,5-Speed,Manual,74.96,95,18.24,"BS V"
"Nissan Magnite XV Premium Turbo CVT (O)",Nissan,Magnite,2022,petrol,40,"1.0L HRAO Turbo	",999,CVT,Automatic,99,152,17.7,"BS IV"
"Hyundai Venue SX 1.0  Turbo",Hyundai,Venue,2021,petrol,45,"Kappa 1.0 L Turbo GDi Petrol",998,6-Speed,Automatic,118.35,171.6,18.27,"BS IV"
"JEEP Compass [2017-2021] Limited 2.0 Diesel 4x4",Jeep,Compass,2017,diesel,60,"2.0-Litre 4-Cyl Multijet",1956,6-Speed,Automatic,170,350,16.3,"BS IV"
"Tata Tiago Revotron XZ Plus",Tata,Tiago,2020,petrol,35,"Revotron Engine",1199,5-Speed,Manual,85,113,20,"BS IV"
"Hyundai Eon [2011-2018] Magna +",Hyundai,Eon,2016,petrol,32,"Kappa Engine",814,5-Speed,Manual,68.05,94.14,20.03,"BS IV"
"Hyundai Grand i10 [2017-2020] Sportz 1.2 Kappa VTVT",Hyundai,"Grand i10",2019,petrol,43,"Kappa VTVT Petrol Engine",1197,5-Speed,Manual,81.86,113.75,18.9,"BS V"
"Volkswagen Ameo [2016-2020] Highline1.2L (P)",Volkswagen,Ameo,2017,petrol,45,"MPI Petrol Engine",1198,5-Speed,Manual,73.75,110,17,"BS V"
"Maruti Suzuki Swift [2017-2020] ZDi Plus","Maruti Suzuki",Swift,2018,diesel,42,"DDis Diesel,CRDI",1248,5-Speed,Manual,74,190,25.2,"BS V"
"Renault Lodgy [2015-2019] 110 PS RxL",Renault,Lodgy,2015,diesel,50,"dCi Diesel with Fixed Geometry Turbo",1461,5-Speed,Manual,108,245,21.04,"BS V"
"Honda Jazz VX MT",Honda,Jazz,2015,petrol,40,"1.2 i-VTEC Petrol",1199,5-Speed,Manual,88.51,110,16.6,"BS IV"
"Tata Punch Creative IRA Dual Tone",Tata,Punch,2021,petrol,37,"1.2 Revotron",1199,5-Speed,Manual,84,113,18.9,"BS IV"
"Mahindra Scorpio [2017-2020] S9",Mahindra,Scorpio,2019,diesel,60,"mHawk Diesel Engine",2179,6-Speed,Automatic,138.13,320,16.36,"BS V"
"Chevrolet Beat [2014-2017] LS Diesel",Chevrolet,Beat,2015,diesel,35,"1.0 XSDE",936,5-Speed,Manual,57,150,25.44,"BS IV"
"Ford EcoSport [2013-2015] Titanium 1.5L TDCi (Opt)",Ford,EcoSport,2014,diesel,52,"1.5L DV5 (Diesel)",1498,5-Speed,Manual,89,204,22.7,"BS III"
"Hyundai Grand i10 [2017-2020] Magna 1.2 Kappa VTVT",Hyundai,"Grand i10",2018,petrol,43,"Kappa VTVT Petrol Engine",1197,5-Speed,Manual,81.86,113.75,18.9,"BS V"
"Hyundai Elite i20 [2018-2020] Magna Plus 1.2",Hyundai,"Elite i20",2019,petrol,40,"Kappa VTVT Petrol Engine",1197,5-Speed,Manual,81.86,117,18.6,"BS V"
"Hyundai Grand i10 [2013-2017] Asta 1.2 Kappa VTVT (O)",Hyundai,"Grand i10",2016,petrol,43,"Kappa VTVT Petrol Engine",1197,5-Speed,Manual,82,114,18.9,"BS IV"
"Maruti Suzuki S-Presso VXI+","Maruti Suzuki",S-Presso,2021,petrol,27,"K10B Petrol Engine",998,5-Speed,Manual,67,90,21.01,"BS IV"
"Toyota Etios Liva [2017-2020] VX Dual Tone",Toyota,"Etios Liva",2018,petrol,45,"4-Cylinder 16V, DOHC",1197,5-Speed,Manual,79,104,18.16,"BS V"
"Honda Brio [2011-2016] V MT",Honda,Brio,2012,petrol,35,"4 cylinder inline petrol",1198,5-Speed,Manual,86.8,109,19.4,"BS III"
"Maruti Suzuki Ciaz Alpha Petrol","Maruti Suzuki",Ciaz,2020,petrol,43,"K15 Smart Hybrid Petrol E",1499,5-Speed,Manual,103.25,138,20.65,"BS IV"
"Ford EcoSport [2017-2021] Titanium 1.5L Ti-VCT",Ford,EcoSport,2021,petrol,52,"Ti-VCT Petrol Engine",1496,5-Speed,Manual,120.69,149,15.9,"BS IV"
"Hyundai Eon [2011-2018] Magna +",Hyundai,Eon,2018,petrol,32,"Kappa Engine",814,5-Speed,Manual,68.05,94.14,20.03,"BS IV"
"Toyota Etios [2010-2017] V",Toyota,Etios,2013,petrol,45,"4 cylinder petrol engine",1496,5-Speed,Manual,80,132,17.57,"BS IV"
"Toyota Corolla Altis [2014-2017] G Petrol",Toyota,"Corolla Altis",2016,petrol,55,"2ZR-FE, Gasoline, 4 cylinder inline",1798,6-Speed,Automatic,138,173,16.7,"BS IV"
"MG Motors Hector 1.5 Sharp DCT AT","MG Motors",Hector,2020,petrol,60,FWD,1451,6-Speed,Automatic,141,250,13.96,"BS IV"
"MG Motors Hector 1.5 Sharp DCT AT","MG Motors",Hector,2020,petrol,60,FWD,1451,6-Speed,Automatic,141,250,13.96,"BS IV"
"Maruti Suzuki Ciaz Alpha AT Petrol","Maruti Suzuki",Ciaz,2020,petrol,43,"K15 Smart Hybrid Petrol E",1462,4-Speed,Automatic,103.25,138,20,"BS IV"
"Honda City ZX",Honda,City,2020,petrol,40,"1.5L i-VTEC DOHC with VTC Petrol Engine",1498,6-Speed,Automatic,119.35,145,18.4,"BS IV"
"Kia Seltos GTX Plus DCT",Kia,Seltos,2020,petrol,50,"Smartstream G1.4 T-GDi",1353,7-Speed,Automatic,138,242,16.8,"BS IV"
"Ford Figo [2019-2021] Titanium Diesel",Ford,Figo,2019,diesel,40,"TDCi Diesel Engine",1499,5-Speed,Manual,98.96,215,24.4,"BS V"
"Hyundai Verna [2011-2015] Fluidic 1.6 CRDi SX",Hyundai,Verna,2014,diesel,43,"Diesel Engine",1582,6-Speed,Automatic,126,260,17,"BS III"
"Maruti Suzuki Ciaz Alpha Petrol","Maruti Suzuki",Ciaz,2019,petrol,43,"K15 Smart Hybrid Petrol E",1499,5-Speed,Manual,103.25,138,20.65,"BS IV"
"Honda WR-V VX i-VTEC",Honda,WR-V,2017,petrol,40,"i-VTEC Petrol engine",1199,5-Speed,Manual,88.5,110,16.5,"BS IV"
"Maruti Suzuki Dzire [2017-2020] ZXi Plus AMT","Maruti Suzuki",Dzire,2018,petrol,37,"1.2 Litre Petrol Engine",1499,5-Speed,Manual,88.5,113,24.12,"BS V"
"Hyundai i20 Active [2015-2020] 1.2 SX",Hyundai,"i20 Active",2016,petrol,45,"1.2L Kappa 5 Speed Manual Transmission",1197,5-Speed,Manual,82,115,17.19,"BS V"
"Tata Zest [2014-2019] XT Petrol",Tata,Zest,2017,petrol,44,"Revotron 1.2 T",1193,5-Speed,Manual,89,140,17.57,"BS V"
"MG Motors Hector 1.5 Sharp DCT AT","MG Motors",Hector,2020,petrol,60,FWD,1451,6-Speed,Automatic,141,250,13.96,"BS IV"
"Hyundai Elite i20 [2018-2020] Sportz 1.2",Hyundai,"Elite i20",2018,petrol,45,"1.2 Kappa petrol with dual VTVT, 16 Valves, 4 Cylinder",1197,5-Speed,Manual,82,115,18.6,"BS V"
