Car_Name,Make,Model,Make_Year,Fuel_Type,Fuel_Tank_Capacity_L,Engine_Type,CC_Displacement,Transmission,Transmission_Type,Power_BHP,Torque_Nm,Mileage_kmpl,Emission
"Hyundai Fluidic Verna 4S [2015-2018] 1.6 VTVT SX AT",Hyundai,"Fluidic Verna 4S",2017,petrol,43,"VTVT Petrol Engine",1591,4-Speed,Automatic,121.3,154.9,17,"BS IV"
"MG Motors Hector 1.5 Hybrid Sharp DCT Dual Tone","MG Motors",Hector,2020,petrol,60,FWD,1451,6-Speed,Automatic,141,250,13.96,"BS IV"
"JEEP Compass [2017-2021] Longitude (O) 2.0 Diesel",Jeep,Compass,2017,diesel,60,"2.0-Litre 4-Cyl Multijet II Engine",1956,6-Speed,Automatic,170,350,17.1,"BS IV"
"JEEP Compass [2017-2021] Limited (O) 2.0 Diesel",Jeep,Compass,2017,diesel,60,"2.0-Litre 4-Cyl Multijet",1956,6-Speed,Automatic,170.63,350,17.1,"BS IV"
"Hyundai New Santro 1.1 Magna Corporate Edition ",Hyundai,"New Santro 1.1",2020,petrol,35,"1.1 L Petrol",1086,5-Speed,Manual,68.07,99.07,20.3,"BS IV"
"Maruti Suzuki S-Cross [2017-2020] Zeta 1.3","Maruti Suzuki",S-Cross,2018,diesel,48,"DDiS 200",1248,5-Speed,Manual,89,200,23.65,"BS V"
"Hyundai i20 Active [2015-2020] 1.2 S",Hyundai,"i20 Active",2017,petrol,45,"1.2L Kappa 5 Speed Manual Transmission",1197,5-Speed,Manual,82,115,17.19,"BS V"
"Ford EcoSport [2017-2021] Titanium + 1.5L Ti-VCT",Ford,EcoSport,2020,petrol,52," 1.5L Ti-VCT (Petrol)",1496,5-Speed,Manual,121,149,21.17,"BS IV"
"Hyundai i10 [2010-2016] Era Petrol",Hyundai,i10,2012,petrol,35,"4 cylinder inline petrol engine",1086,5-Speed,Manual,68.05,99.04,19.81,"BS III"
"Hyundai i10 [2010-2016] Sportz AT Petrol",Hyundai,i10,2011,petrol,35,"DOHC Kappa2 Engine",1197,4-Speed,Automatic,78.9,111.8,16.95,"BS III"
"Maruti Suzuki Alto 800 Vxi","Maruti Suzuki","Alto 800",2020,petrol,35,"F8D Petrol Engine",796,5-Speed,Manual,47.3,69,22.05,"BS IV"
"Renault Kwid [2015-2019] RXT",Renault,Kwid,2017,petrol,28,"Petrol Engine",799,5-Speed,Manual,53.3,72,25.12,"BS V"
"Hyundai Elite i20 [2014-2018] Sportz 1.4 CRDI",Hyundai,"Elite i20",2016,diesel,45,"16 Valves, 4 Cylinder",1396,6-Speed,Automatic,89,220,22.54,"BS IV"
"Maruti Suzuki Ertiga [2012-2015] Vxi","Maruti Suzuki",Ertiga,2015,petrol,45,"K-Series Petrol Engine with VVT",1373,5-Speed,Manual,93.7,130,16.02,"BS III"
"Hyundai Grand i10 Nios Sportz AMT 1.2 Kappa VTVT",Hyundai,"Grand i10 Nios",2022,petrol,37,"1.2 L Kappa Petrol",1197,5-Speed,Manual,81.86,113.75,20.07,"BS IV"
"Ford EcoSport [2015-2017] Trend 1.5L TDCi",Ford,EcoSport,2017,diesel,52,"1.5L DV5 (Diesel)",1498,5-Speed,Manual,99,205,22.7,"BS IV"
"Volkswagen Polo [2014-2020] Highline 1.5 (D)",Volkswagen,Polo,2015,diesel,45,"TDI Diesel Engine",1498,5-Speed,Manual,88,230,20.18,"BS V"
"Renault Triber RXZ",Renault,Triber,2019,petrol,40,"1.0L Petrol Engine",999,5-Speed,Manual,71,96,20,"BS IV"
"Maruti Suzuki Baleno [2015-2019] Alpha Petrol","Maruti Suzuki",Baleno,2017,petrol,37,"1.2L VVT Engine",1197,5-Speed,Manual,81.8,113,21.01,"BS V"
"Maruti Suzuki Ritz [2012-2017] Vxi","Maruti Suzuki",Ritz,2015,petrol,43,"inline 4 cylinder petrol engine",1197,5-Speed,Manual,85,113,18.5,"BS IV"
"Maruti Suzuki Ciaz [2014-2017] ZXi AT","Maruti Suzuki",Ciaz,2015,petrol,43," K 14B VVT",1373,4-Speed,Automatic,91,130,19.12,"BS IV"
"MG Motors Hector Plus Sharp 1.5 Petrol Turbo DCT 6-STR","MG Motors","Hector Plus",2020,petrol,60,"1.5 Litre Turbochaged Petrol Engine",1451,6-Speed,Automatic,141,250,11.67,"BS IV"
"Maruti Suzuki Wagon R 1.0 [2010-2019] VXI","Maruti Suzuki","Wagon R 1.0",2013,petrol,35,"K Series Petrol Engine",998,5-Speed,Manual,67.1,90,18.9,"BS V"
"Tata Altroz XZ 1.2",Tata,Altroz,2021,petrol,37,"1.2 L Revotron",1199,5-Speed,Manual,84.82,113,19.05,"BS IV"
"Hyundai Eon [2011-2018] Magna +",Hyundai,Eon,2017,petrol,32,"Kappa Engine",814,5-Speed,Manual,68.05,94.14,20.03,"BS IV"
"Maruti Suzuki Alto 800 [2012-2016] Vxi","Maruti Suzuki","Alto 800",2015,petrol,35,F8D,796,5-Speed,Manual,47.3,69,22.74,"BS III"
"Hyundai i10 [2010-2016] Magna 1.2 Petrol",Hyundai,i10,2013,petrol,35,"Kappa Petrol Engine",1197,5-Speed,Manual,78.9,111.7,20.36,"BS III"
"Maruti Suzuki Alto 800 Lxi","Maruti Suzuki","Alto 800",2020,petrol,35,"F8D Petrol Engine",796,5-Speed,Manual,47.33,69,22.05,"BS IV"
"Hyundai i10 [2010-2016] Era Petrol",Hyundai,i10,2013,petrol,35,"4 cylinder inline petrol engine",1086,5-Speed,Manual,68.05,99.04,19.81,"BS III"
"Hyundai Elite i20 [2014-2018] Asta 1.4 CRDI (O)",Hyundai,"Elite i20",2016,diesel,45,"U2 CRDI Diesel Engine",1396,6-Speed,Automatic,88.73,219.7,22.54,"BS IV"
"Renault Kiger RXT MT",Renault,Kiger,2022,petrol,40,"1.0L Energy",999,5-Speed,Manual,71,96,19.17,"BS IV"
"Maruti Suzuki Vitara Brezza [2018-2020] ZDI PLUS AT Dual Tone","Maruti Suzuki","Vitara Brezza",2019,diesel,48,"Front Wheel Drive",1248,5-Speed,Manual,89,200,24.3,"BS V"
"Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT",Hyundai,"Grand i10 Nios",2021,petrol,37,"1.2 L Kappa Petrol",1197,5-Speed,Manual,81.86,113.75,20.7,"BS IV"
"Honda City V",Honda,City,2019,petrol,40,"i VTEC Engine",1497,5-Speed,Manual,117.6,145,17.4,"BS IV"
"Renault Kwid CLIMBER 1.0 AMT",Renault,Kwid,2019,petrol,28,"Petrol Engine",999,5-Speed,Manual,67,91,22,"BS IV"
"Hyundai Eon [2011-2018] Magna +",Hyundai,Eon,2013,petrol,32,"Kappa Engine",814,5-Speed,Manual,68.05,94.14,20.03,"BS IV"
"JEEP Compass [2017-2021] Limited 2.0 Diesel",Jeep,Compass,2017,diesel,60,"2.0-Litre 4-Cyl Multijet",1956,6-Speed,Automatic,170,350,17.1,"BS IV"
"Hyundai i10 [2010-2016] Magna 1.2 Petrol",Hyundai,i10,2012,petrol,35,"Kappa Petrol Engine",1197,5-Speed,Manual,78.9,111.7,20.36,"BS III"
"Hyundai Creta [2015-2018] 1.6 SX Plus Auto",Hyundai,Creta,2016,diesel,60,"U2 VGT CRDi",1596,6-Speed,Manual,126,265,17.01,"BS IV"
"Renault Kiger RXZ Turbo CVT",Renault,Kiger,2021,petrol,40,"1.0L Energy",1298,5-Speed,Automatic,99,152,20.53,"BS IV"
"Maruti Suzuki Celerio [2014-2021] VXi AMT","Maruti Suzuki",Celerio,2014,petrol,35,K10B,998,5-Speed,Automatic,67.04,90,23.1,"BS IV"
"Hyundai Verna [2011-2015] Fluidic 1.6 VTVT SX",Hyundai,Verna,2013,petrol,43,"Front Wheel Drive",1591,5-Speed,Automatic,121,158,17.01,"BS III"
"Renault Duster [2015-2019] 110 PS RXZ 4X2 AMT",Renault,Duster,2017,diesel,50,"dCi THP Diesel Engine",1461,6-Speed,Manual,108.45,245,19.6,"BS V"
"Kia Seltos GTX Plus DCT",Kia,Seltos,2020,petrol,50,"Smartstream G1.4 T-GDi",1353,7-Speed,Manual,138,242,16.8,"BS IV"
"Hyundai Xcent [2014-2017] SX (O) Petrol",Hyundai,Xcent,2014,petrol,43,"Kappa VTVT Petrol Engine",1197,5-Speed,Manual,82,114,19.1,"BS IV"
"Hyundai Eon [2011-2018] D-Lite+",Hyundai,Eon,2014,petrol,32,"Petrol Engine",1798,5-Speed,Manual,55.2,74.5,21.1,"BS IV"
"Honda City V",Honda,City,2019,petrol,40,"i VTEC Engine",1497,5-Speed,Manual,117.6,145,17.4,"BS IV"
"Maruti Suzuki Wagon R 1.0 [2015-2019] VXI AMT","Maruti Suzuki","Wagon R 1.0",2016,petrol,32,"K10B Petrol Engine",998,5-Speed,Manual,67.05,90,21.79,"BS V"
"Renault Kwid 1.0 RXT Opt",Renault,Kwid,2021,petrol,28,"Petrol Engine",1298,5-Speed,Automatic,67,91,22,"BS IV"
"Maruti Suzuki Wagon R 1.0 [2010-2019] VXI","Maruti Suzuki","Wagon R 1.0",2011,petrol,35,"K Series Petrol Engine",998,5-Speed,Manual,67.1,90,18.9,"BS V"
"Mahindra XUV500 [2015-2018] W8",Mahindra,XUV500,2015,diesel,70,"4 cylinder mHawk CRDe diesel engine",2179,6-Speed,Manual,140,330,16,"BS IV"
"Hyundai New Santro 1.1 Asta MT",Hyundai,"New Santro 1.1",2019,petrol,35,"1.1 L Petrol",1086,5-Speed,Manual,68.07,99.07,20.3,"BS IV"
"Hyundai Grand i10 [2017-2020] Sportz 1.2 Kappa VTVT",Hyundai,"Grand i10",2020,petrol,43,"Kappa VTVT Petrol Engine",1197,5-Speed,Automatic,81.86,113.75,18.9,"BS V"
"Honda City V",Honda,City,2018,petrol,40,"i VTEC Engine",1497,5-Speed,Manual,117.6,145,17.4,"BS IV"
"Renault Duster [2015-2019] 110 PS RXZ 4X2 AMT",Renault,Duster,2016,diesel,50,"dCi THP Diesel Engine",1461,6-Speed,Manual,108.45,245,19.6,"BS V"
"Hyundai Elite i20 [2014-2018] Asta 1.4 CRDI",Hyundai,"Elite i20",2015,diesel,45,"U2 CRDI Diesel Engine",1396,6-Speed,Manual,88.73,219.7,22.54,"BS IV"
"Maruti Suzuki Celerio [2014-2021] ZXi (O)","Maruti Suzuki",Celerio,2018,petrol,35,K10B,998,5-Speed,Automatic,67,90,23.1,"BS IV"
"Maruti Suzuki A-Star [2012-2014] VXI (ABS) AT","Maruti Suzuki",A-Star,2012,petrol,35,K10B,998,4-Speed,Automatic,67,90,16.98,"BS IV"
"Maruti Suzuki Swift [2007-2011] VXI ABS","Maruti Suzuki",Swift,2011,petrol,43,"In-Line Engine",1197,5-Speed,Manual,85,113,16.1,"BS IV"
"Hyundai Creta [2015-2018] 1.6 S Plus Auto",Hyundai,Creta,2017,diesel,60,"U2 VGT CRDi",1582,6-Speed,Manual,126,265,17.01,"BS IV"
"Maruti Suzuki S-Cross [2015-2020] Zeta 1.3","Maruti Suzuki",S-Cross,2015,diesel,48,"DDiS 200",1248,5-Speed,Automatic,89,200,23.65,"BS V"
"Hyundai Grand i10 [2013-2017] Sportz 1.2 Kappa VTVT",Hyundai,"Grand i10",2015,petrol,43,"Kappa VTVT Petrol Engine",1197,5-Speed,Manual,82,114,18.9,"BS IV"
"Hyundai Verna [2011-2015] Fluidic 1.6 VTVT SX",Hyundai,Verna,2013,petrol,43,"Front Wheel Drive",1591,5-Speed,Automatic,121,158,17.01,"BS III"
"Skoda Superb [2019-2020] L&K TSI AT",Skoda,Superb,2019,petrol,66,"Turbocharged petrol engine, in-line, liquid cooling system, direct injection, 16V DOHC, transverse in front",1798,7-Speed,Automatic,177,250,14.67,"BS V"
"Honda City VX",Honda,City,2021,petrol,40,"1.5L i-VTEC Petrol Engine",1498,6-Speed,Manual,119.3,145,18.4,"BS IV"
"Maruti Suzuki Baleno [2019-2022] Zeta AT Petrol","Maruti Suzuki",Baleno,2019,petrol,37,"1.2L VVT Engine",1596,5-Speed,Manual,81.8,113,21.01,"BS V"
"Maruti Suzuki Dzire [2017-2020] ZXi Plus AMT","Maruti Suzuki",Dzire,2017,petrol,37,"1.2 Litre Petrol Engine",1696,5-Speed,Automatic,88.5,113,24.12,"BS V"
"Maruti Suzuki Celerio [2014-2021] VXi AMT","Maruti Suzuki",Celerio,2014,petrol,35,K10B,998,5-Speed,Automatic,67.04,90,23.1,"BS IV"
"Maruti Suzuki Ertiga [2012-2015] Vxi","Maruti Suzuki",Ertiga,2013,petrol,45,"K-Series Petrol Engine with VVT",1373,5-Speed,Manual,93.7,130,16.02,"BS III"
"Tata Tiago [2016-2020] Revotron XT",Tata,Tiago,2019,petrol,35,"Revotron Engine",1199,5-Speed,Automatic,84,114,23.84,"BS V"
"Hyundai Grand i10 [2017-2020] Sportz (O) 1.2 kappa VTVT",Hyundai,"Grand i10",2018,petrol,43,"Kappa VTVT Petrol Engine",1197,5-Speed,Automatic,81.86,113.75,18.9,"BS V"
"Chevrolet Beat [2011-2014] LS Diesel",Chevrolet,Beat,2013,diesel,35,"XSDE Smartech",936,5-Speed,Manual,58,150,25.44,"BS IV"
"Renault Kwid [2015-2019] RXL",Renault,Kwid,2018,petrol,28,"Petrol Engine",799,5-Speed,Manual,53.3,72,25.17,"BS V"
"Hyundai Venue [2019-2022] SX Plus 1.0 Turbo DCT",Hyundai,Venue,2019,petrol,45,"Kappa 1.0 L Turbo GDi Petrol",998,7-Speed,Manual,118.35,171.6,18.15,"BS V"
"Honda Amaze 1.5 VX CVT i-DTEC",Honda,Amaze,2019,diesel,35,i-DTEC,1199,5-Speed,Manual,79,160,21,"BS IV"
"Maruti Suzuki Baleno [2015-2019] Zeta Petrol","Maruti Suzuki",Baleno,2015,petrol,37,"1.2L VVT Engine",1197,5-Speed,Manual,81.8,113,21.01,"BS V"
"Maruti Suzuki Vitara Brezza [2016-2020] ZDI PLUS Dual Tone","Maruti Suzuki","Vitara Brezza",2016,diesel,48,"DDiS 200 Diesel Engine",1248,5-Speed,Automatic,88.5,200,24.3,"BS V"
"Hyundai i20 [2012-2014] Asta 1.2",Hyundai,i20,2014,petrol,45,"Kappa VTVT Petrol Engine",1197,5-Speed,Manual,82.85,113.7,18.5,"BS IV"
"Maruti Suzuki Celerio [2014-2021] ZXi AMT","Maruti Suzuki",Celerio,2018,petrol,35,K10B,998,5-Speed,Automatic,67.04,90,23.1,"BS IV"
"Maruti Suzuki Ciaz [2014-2017] ZXI+","Maruti Suzuki",Ciaz,2017,petrol,43,"k14B VVT Engine",1373,5-Speed,Manual,91.1,130,20.73,"BS IV"
"Ford Figo [2019-2021] Titanium Diesel",Ford,Figo,2019,diesel,40,"TDCi Diesel Engine",1596,5-Speed,Manual,98.96,215,24.4,"BS V"
"Honda Jazz [2015-2020] SV MT",Honda,Jazz,2017,petrol,40,"i-VTEC Petrol Engine",1199,5-Speed,Automatic,88.7,110,18.7,"BS V"
"Hyundai Grand i10 Nios Sportz AMT 1.2 Kappa VTVT",Hyundai,"Grand i10 Nios",2021,petrol,37,"1.2 L Kappa Petrol",1197,5-Speed,Manual,81.86,113.75,20.07,"BS IV"
"Honda Amaze [2013-2018] 1.2 VX i-VTEC",Honda,Amaze,2014,petrol,35,"4-Cylinder, SOHC i-VTEC",1198,5-Speed,Manual,86.9,109,18,"BS IV"
"Tata Nano GenX [2015-2018] XT",Tata,"Nano GenX",2015,petrol,24,"2 cylinder, MPFI, Gasoline",624,4-Speed,Manual,37,51,23.6,"BS IV"
"Renault Kwid [2017-2019] RXT 1.0 SCE Special (O)",Renault,Kwid,2019,petrol,28,"Petrol Engine",999,5-Speed,Manual,67,91,23.01,"BS V"
"Ford Figo [2015-2019] Titanium1.5 TDCi",Ford,Figo,2016,diesel,40,TDCi,1498,5-Speed,Manual,99,215,25.83,"BS V"
"Renault Triber RXZ",Renault,Triber,2021,petrol,40,"1.0L Petrol Engine",999,5-Speed,Manual,71,96,20,"BS IV"
"Maruti Suzuki Ciaz [2014-2017] ZXI+","Maruti Suzuki",Ciaz,2015,petrol,43,"k14B VVT Engine",1373,5-Speed,Manual,91.1,130,20.73,"BS IV"
"Maruti Suzuki Swift [2007-2011] VXi","Maruti Suzuki",Swift,2011,petrol,43,"In-Line Engine",1197,5-Speed,Manual,85,113,16.1,"BS IV"
"Honda City V",Honda,City,2021,petrol,40,"i VTEC Engine",1497,5-Speed,Manual,117.6,145,17.4,"BS IV"
"Honda City V",Honda,City,2020,petrol,40,"i VTEC Engine",1497,5-Speed,Manual,117.6,145,17.4,"BS IV"
"Hyundai Grand i10 [2017-2020] Magna 1.2 Kappa VTVT",Hyundai,"Grand i10",2017,petrol,43,"Kappa VTVT Petrol Engine",1197,5-Speed,Automatic,81.86,113.75,18.9,"BS V"
"Tata Altroz XE 1.5",Tata,Altroz,2021,diesel,37,"1.5 L Turbocharged Revotorq",1497,5-Speed,Manual,89,200,23,"BS IV"
"Mahindra XUV 300 W8 Diesel",Mahindra,"XUV 300",2020,diesel,42,"1.5L Turbo Diesel",1497,6-Speed,Manual,115,300,20,"BS IV"
"Hyundai Grand i10 [2013-2017] Sportz 1.2 Kappa VTVT",Hyundai,"Grand i10",2014,petrol,43,"Kappa VTVT Petrol Engine",1197,5-Speed,Manual,82,114,18.9,"BS IV"
"Hyundai Grand i10 [2017-2020] Sportz 1.2 Kappa VTVT",Hyundai,"Grand i10",2018,petrol,43,"Kappa VTVT Petrol Engine",1197,5-Speed,Automatic,81.86,113.75,18.9,"BS V"
"Maruti Suzuki Celerio ZXi Plus","Maruti Suzuki",Celerio,2021,petrol,35,"K10B Engine",998,5-Speed,Manual,67.04,90,21.63,"BS IV"
"Maruti Suzuki Eeco AC 5 STR","Maruti Suzuki",Eeco,2020,petrol,40,"Aluminium 32 bit",1197,5-Speed,Manual,72.42,98,16.11,"BS IV"
"Maruti Suzuki Wagon R 1.0 [2015-2019] VXI AMT","Maruti Suzuki","Wagon R 1.0",2016,petrol,32,"K10B Petrol Engine",998,5-Speed,Manual,67.05,90,21.79,"BS V"
"Maruti Suzuki Celerio [2014-2021] ZXi AMT","Maruti Suzuki",Celerio,2017,petrol,35,K10B,998,5-Speed,Automatic,67.04,90,23.1,"BS IV"
"Honda City [2017-2020] VX",Honda,City,2017,petrol,40,"i VTEC Engine",1497,5-Speed,Automatic,117.6,145,17.4,"BS V"
"Honda Brio [2011-2016] S MT",Honda,Brio,2012,petrol,35,"4 cylinder inline petrol",1198,5-Speed,Manual,86.8,109,19.4,"BS III"
"Honda Amaze 1.2 V CVT Petrol",Honda,Amaze,2018,petrol,35,"i-VTEC Petrol Engine",1199,5-Speed,Manual,88.76,110,18.3,"BS IV"
"Hyundai i20 [2012-2014] Sportz 1.2",Hyundai,i20,2012,petrol,45,"Kappa VTVT Petrol Engine",1197,5-Speed,Manual,82.85,113,18.5,"BS IV"
"Honda WR-V i-DTEC VX",Honda,WR-V,2018,diesel,40,"i-DTEC Diesel engine",1498,6-Speed,Manual,97.89,200,23.7,"BS IV"
"Hyundai i20 [2012-2014] Sportz 1.2",Hyundai,i20,2013,petrol,45,"Kappa VTVT Petrol Engine",1197,5-Speed,Manual,82.85,113,18.5,"BS IV"
"Mahindra XUV500 [2015-2018] W10",Mahindra,XUV500,2017,diesel,70,"4 cylinder mHawk CRDe diesel engine",2179,6-Speed,Manual,140,330,16,"BS IV"
"Chevrolet Cruze [2009-2017] LTZ AT",Chevrolet,Cruze,2015,diesel,60,"VCDi 16V SOHC",1991,6-Speed,Automatic,164,380,14.81,"BS IV"
"Hyundai Eon [2011-2018] Magna +",Hyundai,Eon,2018,petrol,32,"Kappa Engine",814,5-Speed,Manual,68.05,94.14,20.03,"BS IV"
"Ford EcoSport [2015-2017] Titanium 1.5L Ti-VCT AT",Ford,EcoSport,2016,petrol,52,"1.5L Ti-VCT (Petrol)",1499,6-Speed,Automatic,110,140,16.5,"BS IV"
"Maruti Suzuki Ciaz [2014-2017] ZXI+","Maruti Suzuki",Ciaz,2015,petrol,43,"k14B VVT Engine",1373,5-Speed,Manual,91.1,130,20.73,"BS IV"
"Hyundai Elite i20 [2014-2018] Sportz 1.2",Hyundai,"Elite i20",2016,petrol,45,"Kappa VTVT Petrol Engine",1197,5-Speed,Manual,81.83,114.7,18.6,"BS IV"
"Maruti Suzuki Ciaz [2017-2018] Alpha AT","Maruti Suzuki",Ciaz,2018,petrol,43,"k14B VVT Engine",1373,4-Speed,Manual,91.1,130,20.73,"BS IV"
"Hyundai Creta [2015-2018] 1.6 SX Plus Auto Petrol",Hyundai,Creta,2017,petrol,60,"Petrol Dual VTVT",1591,6-Speed,Manual,122,154,15.29,"BS IV"
"Hyundai Elite i20 [2014-2018] Asta 1.2",Hyundai,"Elite i20",2015,petrol,45,"Kappa VTVT Petrol Engine",1197,5-Speed,Manual,81.83,114.7,18.6,"BS IV"
"Tata Harrier XZ Dual Tone",Tata,Harrier,2020,diesel,50,"Kryotec 2.0 L Turbocharge",1956,6-Speed,Manual,138,350,17,"BS IV"
"Maruti Suzuki Dzire [2017-2020] ZXi Plus","Maruti Suzuki",Dzire,2019,petrol,37,"1.2 Litre Petrol Engine",1197,5-Speed,Automatic,88.5,113,23.26,"BS V"
"Mahindra Scorpio [2014-2017] S4 Plus",Mahindra,Scorpio,2017,diesel,60,"4 cylinder mHawk CRDe diesel engine",2179,5-Speed,Manual,120,280,15.4,"BS IV"
"Maruti Suzuki Baleno [2015-2019] Alpha Diesel","Maruti Suzuki",Baleno,2018,diesel,37,"DDiS 200",1248,5-Speed,Manual,74,190,27.39,"BS V"
"Maruti Suzuki Swift Dzire [2012-2017] VXi","Maruti Suzuki","Swift Dzire",2013,petrol,42,"K Series VVT Engine",1197,5-Speed,Manual,85.8,114,19.1,"BS IV"
"Hyundai i10 [2010-2016] Magna Petrol",Hyundai,i10,2014,petrol,35,"4 cylinder inline petrol engine",1197,5-Speed,Manual,68,99.08,19.81,"BS III"
"Toyota Yaris [2018-2021] VX CVT",Toyota,Yaris,2020,petrol,42,"1.5 Dual VVT-i Engine",1596,5-Speed,Manual,105.94,140,18.1,"BS IV"
"Hyundai Creta [2015-2018] 1.6 S Petrol",Hyundai,Creta,2016,petrol,60,"Petrol Dual VTVT",1591,6-Speed,Manual,122,154,15.29,"BS IV"
"Hyundai Xcent [2014-2017] SX (O) Petrol",Hyundai,Xcent,2014,petrol,43,"Kappa VTVT Petrol Engine",1197,5-Speed,Manual,82,114,19.1,"BS IV"
"Maruti Suzuki Alto 800 [2016-2019] Lxi","Maruti Suzuki","Alto 800",2019,petrol,35,"F8D Petrol Engine",796,5-Speed,Manual,47.3,69,24.7,"BS V"
"Maruti Suzuki Alto 800 Lxi","Maruti Suzuki","Alto 800",2021,petrol,35,"F8D Petrol Engine",796,5-Speed,Manual,47.33,69,22.05,"BS IV"
"Maruti Suzuki Alto 800 [2016-2019] Vxi","Maruti Suzuki","Alto 800",2018,petrol,35,"F8D Petrol Engine",796,5-Speed,Manual,47.3,69,22,"BS V"
"Maruti Suzuki Alto K10 [2014-2019] VXi (O)","Maruti Suzuki","Alto K10",2016,petrol,35,K10B,998,5-Speed,Manual,67,90,24.07,"BS V"
"Hyundai Elite i20 [2014-2018] Asta 1.2 Dual Tone",Hyundai,"Elite i20",2018,petrol,45,"Kappa VTVT Petrol Engine",1197,5-Speed,Manual,81.83,114.7,18.6,"BS IV"
"Hyundai Creta [2015-2018] 1.6 SX Plus Petrol",Hyundai,Creta,2016,petrol,60,"Petrol Dual VTVT",1591,6-Speed,Manual,122,154,15.29,"BS IV"
"Renault Kwid 1.0 RXT Opt",Renault,Kwid,2022,petrol,28,"Petrol Engine",1298,5-Speed,Automatic,67,91,22,"BS IV"
"Maruti Suzuki Celerio [2014-2021] VXi","Maruti Suzuki",Celerio,2015,petrol,35,K10B,998,5-Speed,Automatic,67.04,90,23.1,"BS IV"
"Honda WR-V VX i-VTEC",Honda,WR-V,2019,petrol,40,"i-VTEC Petrol engine",1199,5-Speed,Manual,88.5,110,16.5,"BS IV"
"Renault Duster RXS Petrol",Renault,Duster,2021,petrol,50,"1.5L Petrol",1498,5-Speed,Manual,104.55,142,16.42,"BS IV"
"Renault Duster [2012-2015] 85 PS RxL (Opt)",Renault,Duster,2014,diesel,50,"1.5 dCI K9K HP Diesel engine",1461,5-Speed,Manual,84,200,20.45,"BS III"
"Hyundai Elite i20 [2014-2018] Sportz 1.4 CRDI",Hyundai,"Elite i20",2016,diesel,45,"16 Valves, 4 Cylinder",1396,6-Speed,Manual,89,220,22.54,"BS IV"
"Hyundai Elite i20 [2018-2020] Asta 1.4 CRDI",Hyundai,"Elite i20",2018,diesel,45,"16 Valves, 4 Cylinder",1396,6-Speed,Automatic,89,220,22.54,"BS V"
"Ford Figo [2019-2021] Titanium Diesel",Ford,Figo,2019,diesel,40,"TDCi Diesel Engine",1596,5-Speed,Manual,98.96,215,24.4,"BS V"
"Hyundai Creta [2015-2018] 1.6 SX Plus Auto",Hyundai,Creta,2016,diesel,60,"U2 VGT CRDi",1596,6-Speed,Manual,126,265,17.01,"BS IV"
"Hyundai Elite i20 [2014-2018] Sportz 1.2",Hyundai,"Elite i20",2016,petrol,45,"Kappa VTVT Petrol Engine",1197,5-Speed,Manual,81.83,114.7,18.6,"BS IV"
"Hyundai Eon [2011-2018] Era +",Hyundai,Eon,2018,petrol,32,"Petrol Engine",814,5-Speed,Manual,55.2,74.5,21.1,"BS IV"
"Hyundai Creta [2018-2020] 1.6 SX OPT VTVT",Hyundai,Creta,2018,petrol,55,"VTVT Petrol Engine",1591,6-Speed,Automatic,121.3,151,15.8,"BS V"
"Maruti Suzuki Alto K10 [2010-2014] VXi","Maruti Suzuki","Alto K10",2011,petrol,35,"K Series Petrol Engine",998,5-Speed,Manual,67.1,90,20.92,"BS IV"
"Maruti Suzuki S-Presso VXI+","Maruti Suzuki",S-Presso,2021,petrol,27,"K10B Petrol Engine",998,5-Speed,Manual,67,90,21.01,"BS IV"
"Honda City V",Honda,City,2017,petrol,40,"i VTEC Engine",1497,5-Speed,Manual,117.6,145,17.4,"BS IV"
